location_name,location,target_variable,date,value,source
Austria,AT,inc case,2020-01-04,0,ECDC
Austria,AT,inc case,2020-01-11,0,ECDC
Austria,AT,inc case,2020-01-18,0,ECDC
Austria,AT,inc case,2020-01-25,0,ECDC
Austria,AT,inc case,2020-02-01,0,ECDC
Austria,AT,inc case,2020-02-08,0,ECDC
Austria,AT,inc case,2020-02-15,0,ECDC
Austria,AT,inc case,2020-02-22,0,ECDC
Austria,AT,inc case,2020-02-29,12,ECDC
Austria,AT,inc case,2020-03-07,115,ECDC
Austria,AT,inc case,2020-03-14,874,ECDC
Austria,AT,inc case,2020-03-21,3046,ECDC
Austria,AT,inc case,2020-03-28,5099,ECDC
Austria,AT,inc case,2020-04-04,3114,ECDC
Austria,AT,inc case,2020-04-11,1838,ECDC
Austria,AT,inc case,2020-04-18,686,ECDC
Austria,AT,inc case,2020-04-25,449,ECDC
Austria,AT,inc case,2020-05-02,310,ECDC
Austria,AT,inc case,2020-05-09,260,ECDC
Austria,AT,inc case,2020-05-16,324,ECDC
Austria,AT,inc case,2020-05-23,264,ECDC
Austria,AT,inc case,2020-05-30,195,ECDC
Austria,AT,inc case,2020-06-06,228,ECDC
Austria,AT,inc case,2020-06-13,172,ECDC
Austria,AT,inc case,2020-06-20,248,ECDC
Austria,AT,inc case,2020-06-27,334,ECDC
Austria,AT,inc case,2020-07-04,640,ECDC
Austria,AT,inc case,2020-07-11,597,ECDC
Austria,AT,inc case,2020-07-18,784,ECDC
Austria,AT,inc case,2020-07-25,872,ECDC
Austria,AT,inc case,2020-08-01,793,ECDC
Austria,AT,inc case,2020-08-08,721,ECDC
Austria,AT,inc case,2020-08-15,1462,ECDC
Austria,AT,inc case,2020-08-22,1912,ECDC
Austria,AT,inc case,2020-08-29,1945,ECDC
Austria,AT,inc case,2020-09-05,2264,ECDC
Austria,AT,inc case,2020-09-12,3997,ECDC
Austria,AT,inc case,2020-09-19,5215,ECDC
Austria,AT,inc case,2020-09-26,4662,ECDC
Austria,AT,inc case,2020-10-03,5603,ECDC
Austria,AT,inc case,2020-10-10,7489,ECDC
Austria,AT,inc case,2020-10-17,9898,ECDC
Austria,AT,inc case,2020-10-24,18266,ECDC
Austria,AT,inc case,2020-10-31,31623,ECDC
Austria,AT,inc case,2020-11-07,44778,ECDC
Austria,AT,inc case,2020-11-14,47840,ECDC
Austria,AT,inc case,2020-11-21,40704,ECDC
Austria,AT,inc case,2020-11-28,31146,ECDC
Austria,AT,inc case,2020-12-05,23069,ECDC
Austria,AT,inc case,2020-12-12,18695,ECDC
Austria,AT,inc case,2020-12-19,14842,ECDC
Austria,AT,inc case,2020-12-26,13416,ECDC
Austria,AT,inc case,2021-01-02,14916,ECDC
Austria,AT,inc case,2021-01-09,14637,ECDC
Austria,AT,inc case,2021-01-16,10948,ECDC
Austria,AT,inc case,2021-01-23,10156,ECDC
Austria,AT,inc case,2021-01-30,9514,ECDC
Austria,AT,inc case,2021-02-06,9115,ECDC
Austria,AT,inc case,2021-02-13,9461,ECDC
Austria,AT,inc case,2021-02-20,11627,ECDC
Austria,AT,inc case,2021-02-27,14183,ECDC
Austria,AT,inc case,2021-03-06,16315,ECDC
Austria,AT,inc case,2021-03-13,18223,ECDC
Austria,AT,inc case,2021-03-20,21082,ECDC
Austria,AT,inc case,2021-03-27,22316,ECDC
Austria,AT,inc case,2021-04-03,20791,ECDC
Austria,AT,inc case,2021-04-10,17611,ECDC
Austria,AT,inc case,2021-04-17,16817,ECDC
Austria,AT,inc case,2021-04-24,15050,ECDC
Austria,AT,inc case,2021-05-01,12536,ECDC
Austria,AT,inc case,2021-05-08,9018,ECDC
Austria,AT,inc case,2021-05-15,5736,ECDC
Austria,AT,inc case,2021-05-22,4153,ECDC
