forecast_date,target,target_end_date,location,quantile,value,type
2021-10-25,1 wk ahead inc case,2021-10-30,DE,0.01,109864,quantile
2021-10-25,2 wk ahead inc case,2021-11-06,DE,0.01,128359,quantile
2021-10-25,3 wk ahead inc case,2021-11-13,DE,0.01,148482,quantile
2021-10-25,4 wk ahead inc case,2021-11-20,DE,0.01,170164,quantile
2021-10-25,1 wk ahead inc case,2021-10-30,DE,0.025,109935,quantile
2021-10-25,2 wk ahead inc case,2021-11-06,DE,0.025,128508,quantile
2021-10-25,3 wk ahead inc case,2021-11-13,DE,0.025,148725,quantile
2021-10-25,4 wk ahead inc case,2021-11-20,DE,0.025,170521,quantile
2021-10-25,1 wk ahead inc case,2021-10-30,DE,0.05,110123,quantile
2021-10-25,2 wk ahead inc case,2021-11-06,DE,0.05,128898,quantile
2021-10-25,3 wk ahead inc case,2021-11-13,DE,0.05,149365,quantile
2021-10-25,4 wk ahead inc case,2021-11-20,DE,0.05,171461,quantile
2021-10-25,1 wk ahead inc case,2021-10-30,DE,0.1,110381,quantile
2021-10-25,2 wk ahead inc case,2021-11-06,DE,0.1,129439,quantile
2021-10-25,3 wk ahead inc case,2021-11-13,DE,0.1,150255,quantile
2021-10-25,4 wk ahead inc case,2021-11-20,DE,0.1,172770,quantile
2021-10-25,1 wk ahead inc case,2021-10-30,DE,0.15,110560,quantile
2021-10-25,2 wk ahead inc case,2021-11-06,DE,0.15,129813,quantile
2021-10-25,3 wk ahead inc case,2021-11-13,DE,0.15,150871,quantile
2021-10-25,4 wk ahead inc case,2021-11-20,DE,0.15,173678,quantile
2021-10-25,1 wk ahead inc case,2021-10-30,DE,0.2,110721,quantile
2021-10-25,2 wk ahead inc case,2021-11-06,DE,0.2,130151,quantile
2021-10-25,3 wk ahead inc case,2021-11-13,DE,0.2,151430,quantile
2021-10-25,4 wk ahead inc case,2021-11-20,DE,0.2,174502,quantile
2021-10-25,1 wk ahead inc case,2021-10-30,DE,0.25,111135,quantile
2021-10-25,2 wk ahead inc case,2021-11-06,DE,0.25,131022,quantile
2021-10-25,3 wk ahead inc case,2021-11-13,DE,0.25,152870,quantile
2021-10-25,4 wk ahead inc case,2021-11-20,DE,0.25,176632,quantile
2021-10-25,1 wk ahead inc case,2021-10-30,DE,0.3,111585,quantile
2021-10-25,2 wk ahead inc case,2021-11-06,DE,0.3,131970,quantile
2021-10-25,3 wk ahead inc case,2021-11-13,DE,0.3,154443,quantile
2021-10-25,4 wk ahead inc case,2021-11-20,DE,0.3,178967,quantile
2021-10-25,1 wk ahead inc case,2021-10-30,DE,0.35,111861,quantile
2021-10-25,2 wk ahead inc case,2021-11-06,DE,0.35,132556,quantile
2021-10-25,3 wk ahead inc case,2021-11-13,DE,0.35,155418,quantile
2021-10-25,4 wk ahead inc case,2021-11-20,DE,0.35,180416,quantile
2021-10-25,1 wk ahead inc case,2021-10-30,DE,0.4,111981,quantile
2021-10-25,2 wk ahead inc case,2021-11-06,DE,0.4,132810,quantile
2021-10-25,3 wk ahead inc case,2021-11-13,DE,0.4,155841,quantile
2021-10-25,4 wk ahead inc case,2021-11-20,DE,0.4,181047,quantile
2021-10-25,1 wk ahead inc case,2021-10-30,DE,0.45,112417,quantile
2021-10-25,2 wk ahead inc case,2021-11-06,DE,0.45,133736,quantile
2021-10-25,3 wk ahead inc case,2021-11-13,DE,0.45,157388,quantile
2021-10-25,4 wk ahead inc case,2021-11-20,DE,0.45,183357,quantile
2021-10-25,1 wk ahead inc case,2021-10-30,DE,0.5,112810,quantile
2021-10-25,2 wk ahead inc case,2021-11-06,DE,0.5,134574,quantile
2021-10-25,3 wk ahead inc case,2021-11-13,DE,0.5,158792,quantile
2021-10-25,4 wk ahead inc case,2021-11-20,DE,0.5,185459,quantile
2021-10-25,1 wk ahead inc case,2021-10-30,DE,0.55,113199,quantile
2021-10-25,2 wk ahead inc case,2021-11-06,DE,0.55,135405,quantile
2021-10-25,3 wk ahead inc case,2021-11-13,DE,0.55,160189,quantile
2021-10-25,4 wk ahead inc case,2021-11-20,DE,0.55,187556,quantile
2021-10-25,1 wk ahead inc case,2021-10-30,DE,0.6,113644,quantile
2021-10-25,2 wk ahead inc case,2021-11-06,DE,0.6,136359,quantile
2021-10-25,3 wk ahead inc case,2021-11-13,DE,0.6,161797,quantile
2021-10-25,4 wk ahead inc case,2021-11-20,DE,0.6,189977,quantile
2021-10-25,1 wk ahead inc case,2021-10-30,DE,0.65,113769,quantile
2021-10-25,2 wk ahead inc case,2021-11-06,DE,0.65,136627,quantile
2021-10-25,3 wk ahead inc case,2021-11-13,DE,0.65,162248,quantile
2021-10-25,4 wk ahead inc case,2021-11-20,DE,0.65,190658,quantile
2021-10-25,1 wk ahead inc case,2021-10-30,DE,0.7,114056,quantile
2021-10-25,2 wk ahead inc case,2021-11-06,DE,0.7,137246,quantile
2021-10-25,3 wk ahead inc case,2021-11-13,DE,0.7,163296,quantile
2021-10-25,4 wk ahead inc case,2021-11-20,DE,0.7,192240,quantile
2021-10-25,1 wk ahead inc case,2021-10-30,DE,0.75,114515,quantile
2021-10-25,2 wk ahead inc case,2021-11-06,DE,0.75,138237,quantile
2021-10-25,3 wk ahead inc case,2021-11-13,DE,0.75,164977,quantile
2021-10-25,4 wk ahead inc case,2021-11-20,DE,0.75,194789,quantile
2021-10-25,1 wk ahead inc case,2021-10-30,DE,0.8,114943,quantile
2021-10-25,2 wk ahead inc case,2021-11-06,DE,0.8,139163,quantile
2021-10-25,3 wk ahead inc case,2021-11-13,DE,0.8,166554,quantile
2021-10-25,4 wk ahead inc case,2021-11-20,DE,0.8,197184,quantile
2021-10-25,1 wk ahead inc case,2021-10-30,DE,0.85,115111,quantile
2021-10-25,2 wk ahead inc case,2021-11-06,DE,0.85,139528,quantile
2021-10-25,3 wk ahead inc case,2021-11-13,DE,0.85,167175,quantile
2021-10-25,4 wk ahead inc case,2021-11-20,DE,0.85,198130,quantile
2021-10-25,1 wk ahead inc case,2021-10-30,DE,0.9,115291,quantile
2021-10-25,2 wk ahead inc case,2021-11-06,DE,0.9,139919,quantile
2021-10-25,3 wk ahead inc case,2021-11-13,DE,0.9,167841,quantile
2021-10-25,4 wk ahead inc case,2021-11-20,DE,0.9,199145,quantile
2021-10-25,1 wk ahead inc case,2021-10-30,DE,0.95,115581,quantile
2021-10-25,2 wk ahead inc case,2021-11-06,DE,0.95,140549,quantile
2021-10-25,3 wk ahead inc case,2021-11-13,DE,0.95,168917,quantile
2021-10-25,4 wk ahead inc case,2021-11-20,DE,0.95,200785,quantile
2021-10-25,1 wk ahead inc case,2021-10-30,DE,0.975,115763,quantile
2021-10-25,2 wk ahead inc case,2021-11-06,DE,0.975,140945,quantile
2021-10-25,3 wk ahead inc case,2021-11-13,DE,0.975,169595,quantile
2021-10-25,4 wk ahead inc case,2021-11-20,DE,0.975,201821,quantile
2021-10-25,1 wk ahead inc case,2021-10-30,DE,0.99,115830,quantile
2021-10-25,2 wk ahead inc case,2021-11-06,DE,0.99,141092,quantile
2021-10-25,3 wk ahead inc case,2021-11-13,DE,0.99,169847,quantile
2021-10-25,4 wk ahead inc case,2021-11-20,DE,0.99,202206,quantile
2021-10-25,1 wk ahead inc case,2021-10-30,DE,NA,112809,point
2021-10-25,2 wk ahead inc case,2021-11-06,DE,NA,134573,point
2021-10-25,3 wk ahead inc case,2021-11-13,DE,NA,158791,point
2021-10-25,4 wk ahead inc case,2021-11-20,DE,NA,185457,point
2021-10-25,1 wk ahead inc case,2021-10-30,IT,0.01,25665,quantile
2021-10-25,2 wk ahead inc case,2021-11-06,IT,0.01,23373,quantile
2021-10-25,3 wk ahead inc case,2021-11-13,IT,0.01,21812,quantile
2021-10-25,4 wk ahead inc case,2021-11-20,IT,0.01,20726,quantile
2021-10-25,1 wk ahead inc case,2021-10-30,IT,0.025,25948,quantile
2021-10-25,2 wk ahead inc case,2021-11-06,IT,0.025,24014,quantile
2021-10-25,3 wk ahead inc case,2021-11-13,IT,0.025,22675,quantile
2021-10-25,4 wk ahead inc case,2021-11-20,IT,0.025,21731,quantile
2021-10-25,1 wk ahead inc case,2021-10-30,IT,0.05,26170,quantile
2021-10-25,2 wk ahead inc case,2021-11-06,IT,0.05,24527,quantile
2021-10-25,3 wk ahead inc case,2021-11-13,IT,0.05,23374,quantile
2021-10-25,4 wk ahead inc case,2021-11-20,IT,0.05,22552,quantile
2021-10-25,1 wk ahead inc case,2021-10-30,IT,0.1,27091,quantile
2021-10-25,2 wk ahead inc case,2021-11-06,IT,0.1,26716,quantile
2021-10-25,3 wk ahead inc case,2021-11-13,IT,0.1,26439,quantile
2021-10-25,4 wk ahead inc case,2021-11-20,IT,0.1,26233,quantile
2021-10-25,1 wk ahead inc case,2021-10-30,IT,0.15,27677,quantile
2021-10-25,2 wk ahead inc case,2021-11-06,IT,0.15,28170,quantile
2021-10-25,3 wk ahead inc case,2021-11-13,IT,0.15,28547,quantile
2021-10-25,4 wk ahead inc case,2021-11-20,IT,0.15,28835,quantile
2021-10-25,1 wk ahead inc case,2021-10-30,IT,0.2,28829,quantile
2021-10-25,2 wk ahead inc case,2021-11-06,IT,0.2,31164,quantile
2021-10-25,3 wk ahead inc case,2021-11-13,IT,0.2,33067,quantile
2021-10-25,4 wk ahead inc case,2021-11-20,IT,0.2,34594,quantile
2021-10-25,1 wk ahead inc case,2021-10-30,IT,0.25,29628,quantile
2021-10-25,2 wk ahead inc case,2021-11-06,IT,0.25,33346,quantile
2021-10-25,3 wk ahead inc case,2021-11-13,IT,0.25,36509,quantile
2021-10-25,4 wk ahead inc case,2021-11-20,IT,0.25,39136,quantile
2021-10-25,1 wk ahead inc case,2021-10-30,IT,0.3,30068,quantile
2021-10-25,2 wk ahead inc case,2021-11-06,IT,0.3,34588,quantile
2021-10-25,3 wk ahead inc case,2021-11-13,IT,0.3,38523,quantile
2021-10-25,4 wk ahead inc case,2021-11-20,IT,0.3,41852,quantile
2021-10-25,1 wk ahead inc case,2021-10-30,IT,0.35,30560,quantile
2021-10-25,2 wk ahead inc case,2021-11-06,IT,0.35,36008,quantile
2021-10-25,3 wk ahead inc case,2021-11-13,IT,0.35,40872,quantile
2021-10-25,4 wk ahead inc case,2021-11-20,IT,0.35,45074,quantile
2021-10-25,1 wk ahead inc case,2021-10-30,IT,0.4,31018,quantile
2021-10-25,2 wk ahead inc case,2021-11-06,IT,0.4,37361,quantile
2021-10-25,3 wk ahead inc case,2021-11-13,IT,0.4,43157,quantile
2021-10-25,4 wk ahead inc case,2021-11-20,IT,0.4,48262,quantile
2021-10-25,1 wk ahead inc case,2021-10-30,IT,0.45,31486,quantile
2021-10-25,2 wk ahead inc case,2021-11-06,IT,0.45,38774,quantile
2021-10-25,3 wk ahead inc case,2021-11-13,IT,0.45,45593,quantile
2021-10-25,4 wk ahead inc case,2021-11-20,IT,0.45,51716,quantile
2021-10-25,1 wk ahead inc case,2021-10-30,IT,0.5,31906,quantile
2021-10-25,2 wk ahead inc case,2021-11-06,IT,0.5,40069,quantile
2021-10-25,3 wk ahead inc case,2021-11-13,IT,0.5,47867,quantile
2021-10-25,4 wk ahead inc case,2021-11-20,IT,0.5,54993,quantile
2021-10-25,1 wk ahead inc case,2021-10-30,IT,0.55,32376,quantile
2021-10-25,2 wk ahead inc case,2021-11-06,IT,0.55,41548,quantile
2021-10-25,3 wk ahead inc case,2021-11-13,IT,0.55,50513,quantile
2021-10-25,4 wk ahead inc case,2021-11-20,IT,0.55,58864,quantile
2021-10-25,1 wk ahead inc case,2021-10-30,IT,0.6,32884,quantile
