location_name,location,date,value,source,type
Belgium,BE,2020-03-21,1291,OWID,Scraped
Belgium,BE,2020-03-22,1499,OWID,Scraped
Belgium,BE,2020-03-23,1679,OWID,Scraped
Belgium,BE,2020-03-24,1974,OWID,Scraped
Belgium,BE,2020-03-25,2338,OWID,Scraped
Belgium,BE,2020-03-26,2619,OWID,Scraped
Belgium,BE,2020-03-27,2912,OWID,Scraped
Belgium,BE,2020-03-28,3232,OWID,Scraped
Belgium,BE,2020-03-29,3499,OWID,Scraped
Belgium,BE,2020-03-30,3717,OWID,Scraped
Belgium,BE,2020-03-31,3847,OWID,Scraped
Belgium,BE,2020-04-01,3903,OWID,Scraped
Belgium,BE,2020-04-02,3981,OWID,Scraped
Belgium,BE,2020-04-03,3896,OWID,Scraped
Belgium,BE,2020-04-04,3756,OWID,Scraped
Belgium,BE,2020-04-05,3571,OWID,Scraped
Belgium,BE,2020-04-06,3409,OWID,Scraped
Belgium,BE,2020-04-07,3334,OWID,Scraped
Belgium,BE,2020-04-08,3199,OWID,Scraped
Belgium,BE,2020-04-09,3094,OWID,Scraped
Belgium,BE,2020-04-10,3023,OWID,Scraped
Belgium,BE,2020-04-11,2913,OWID,Scraped
Belgium,BE,2020-04-12,2830,OWID,Scraped
Belgium,BE,2020-04-13,2750,OWID,Scraped
Belgium,BE,2020-04-14,2528,OWID,Scraped
Belgium,BE,2020-04-15,2381,OWID,Scraped
Belgium,BE,2020-04-16,2227,OWID,Scraped
Belgium,BE,2020-04-17,2102,OWID,Scraped
Belgium,BE,2020-04-18,1975,OWID,Scraped
Belgium,BE,2020-04-19,1925,OWID,Scraped
Belgium,BE,2020-04-20,1865,OWID,Scraped
Belgium,BE,2020-04-21,1874,OWID,Scraped
Belgium,BE,2020-04-22,1773,OWID,Scraped
Belgium,BE,2020-04-23,1664,OWID,Scraped
Belgium,BE,2020-04-24,1579,OWID,Scraped
Belgium,BE,2020-04-25,1517,OWID,Scraped
Belgium,BE,2020-04-26,1420,OWID,Scraped
Belgium,BE,2020-04-27,1365,OWID,Scraped
Belgium,BE,2020-04-28,1268,OWID,Scraped
Belgium,BE,2020-04-29,1237,OWID,Scraped
Belgium,BE,2020-04-30,1186,OWID,Scraped
Belgium,BE,2020-05-01,1099,OWID,Scraped
Belgium,BE,2020-05-02,978,OWID,Scraped
Belgium,BE,2020-05-03,910,OWID,Scraped
Belgium,BE,2020-05-04,873,OWID,Scraped
Belgium,BE,2020-05-05,831,OWID,Scraped
Belgium,BE,2020-05-06,747,OWID,Scraped
Belgium,BE,2020-05-07,716,OWID,Scraped
Belgium,BE,2020-05-08,661,OWID,Scraped
Belgium,BE,2020-05-09,664,OWID,Scraped
Belgium,BE,2020-05-10,664,OWID,Scraped
Belgium,BE,2020-05-11,620,OWID,Scraped
Belgium,BE,2020-05-12,571,OWID,Scraped
Belgium,BE,2020-05-13,553,OWID,Scraped
Belgium,BE,2020-05-14,497,OWID,Scraped
Belgium,BE,2020-05-15,483,OWID,Scraped
Belgium,BE,2020-05-16,460,OWID,Scraped
Belgium,BE,2020-05-17,443,OWID,Scraped
Belgium,BE,2020-05-18,447,OWID,Scraped
Belgium,BE,2020-05-19,432,OWID,Scraped
Belgium,BE,2020-05-20,426,OWID,Scraped
Belgium,BE,2020-05-21,423,OWID,Scraped
Belgium,BE,2020-05-22,395,OWID,Scraped
Belgium,BE,2020-05-23,389,OWID,Scraped
Belgium,BE,2020-05-24,375,OWID,Scraped
Belgium,BE,2020-05-25,362,OWID,Scraped
Belgium,BE,2020-05-26,342,OWID,Scraped
Belgium,BE,2020-05-27,318,OWID,Scraped
Belgium,BE,2020-05-28,283,OWID,Scraped
Belgium,BE,2020-05-29,274,OWID,Scraped
Belgium,BE,2020-05-30,260,OWID,Scraped
Belgium,BE,2020-05-31,255,OWID,Scraped
Belgium,BE,2020-06-01,245,OWID,Scraped
Belgium,BE,2020-06-02,242,OWID,Scraped
Belgium,BE,2020-06-03,211,OWID,Scraped
Belgium,BE,2020-06-04,217,OWID,Scraped
Belgium,BE,2020-06-05,219,OWID,Scraped
Belgium,BE,2020-06-06,200,OWID,Scraped
Belgium,BE,2020-06-07,198,OWID,Scraped
Belgium,BE,2020-06-08,187,OWID,Scraped
Belgium,BE,2020-06-09,175,OWID,Scraped
Belgium,BE,2020-06-10,173,OWID,Scraped
Belgium,BE,2020-06-11,172,OWID,Scraped
Belgium,BE,2020-06-12,167,OWID,Scraped
Belgium,BE,2020-06-13,155,OWID,Scraped
Belgium,BE,2020-06-14,147,OWID,Scraped
Belgium,BE,2020-06-15,141,OWID,Scraped
Belgium,BE,2020-06-16,144,OWID,Scraped
Belgium,BE,2020-06-17,143,OWID,Scraped
Belgium,BE,2020-06-18,131,OWID,Scraped
Belgium,BE,2020-06-19,127,OWID,Scraped
Belgium,BE,2020-06-20,134,OWID,Scraped
Belgium,BE,2020-06-21,130,OWID,Scraped
Belgium,BE,2020-06-22,132,OWID,Scraped
Belgium,BE,2020-06-23,117,OWID,Scraped
Belgium,BE,2020-06-24,114,OWID,Scraped
Belgium,BE,2020-06-25,114,OWID,Scraped
Belgium,BE,2020-06-26,111,OWID,Scraped
Belgium,BE,2020-06-27,109,OWID,Scraped
Belgium,BE,2020-06-28,104,OWID,Scraped
Belgium,BE,2020-06-29,104,OWID,Scraped
Belgium,BE,2020-06-30,109,OWID,Scraped
Belgium,BE,2020-07-01,102,OWID,Scraped
Belgium,BE,2020-07-02,94,OWID,Scraped
Belgium,BE,2020-07-03,82,OWID,Scraped
Belgium,BE,2020-07-04,82,OWID,Scraped
Belgium,BE,2020-07-05,82,OWID,Scraped
Belgium,BE,2020-07-06,78,OWID,Scraped
Belgium,BE,2020-07-07,78,OWID,Scraped
Belgium,BE,2020-07-08,78,OWID,Scraped
Belgium,BE,2020-07-09,76,OWID,Scraped
Belgium,BE,2020-07-10,76,OWID,Scraped
Belgium,BE,2020-07-11,71,OWID,Scraped
Belgium,BE,2020-07-12,71,OWID,Scraped
Belgium,BE,2020-07-13,70,OWID,Scraped
Belgium,BE,2020-07-14,71,OWID,Scraped
Belgium,BE,2020-07-15,73,OWID,Scraped
Belgium,BE,2020-07-16,75,OWID,Scraped
Belgium,BE,2020-07-17,80,OWID,Scraped
Belgium,BE,2020-07-18,96,OWID,Scraped
Belgium,BE,2020-07-19,107,OWID,Scraped
Belgium,BE,2020-07-20,112,OWID,Scraped
Belgium,BE,2020-07-21,102,OWID,Scraped
Belgium,BE,2020-07-22,114,OWID,Scraped
Belgium,BE,2020-07-23,134,OWID,Scraped
Belgium,BE,2020-07-24,157,OWID,Scraped
Belgium,BE,2020-07-25,156,OWID,Scraped
Belgium,BE,2020-07-26,153,OWID,Scraped
Belgium,BE,2020-07-27,167,OWID,Scraped
Belgium,BE,2020-07-28,200,OWID,Scraped
Belgium,BE,2020-07-29,212,OWID,Scraped
Belgium,BE,2020-07-30,209,OWID,Scraped
Belgium,BE,2020-07-31,194,OWID,Scraped
Belgium,BE,2020-08-01,197,OWID,Scraped
Belgium,BE,2020-08-02,211,OWID,Scraped
Belgium,BE,2020-08-03,212,OWID,Scraped
Belgium,BE,2020-08-04,191,OWID,Scraped
Belgium,BE,2020-08-05,206,OWID,Scraped
Belgium,BE,2020-08-06,209,OWID,Scraped
Belgium,BE,2020-08-07,223,OWID,Scraped
Belgium,BE,2020-08-08,232,OWID,Scraped
Belgium,BE,2020-08-09,226,OWID,Scraped
Belgium,BE,2020-08-10,238,OWID,Scraped
Belgium,BE,2020-08-11,270,OWID,Scraped
Belgium,BE,2020-08-12,255,OWID,Scraped
Belgium,BE,2020-08-13,268,OWID,Scraped
Belgium,BE,2020-08-14,268,OWID,Scraped
Belgium,BE,2020-08-15,273,OWID,Scraped
Belgium,BE,2020-08-16,279,OWID,Scraped
Belgium,BE,2020-08-17,259,OWID,Scraped
Belgium,BE,2020-08-18,242,OWID,Scraped
Belgium,BE,2020-08-19,246,OWID,Scraped
Belgium,BE,2020-08-20,230,OWID,Scraped
Belgium,BE,2020-08-21,228,OWID,Scraped
Belgium,BE,2020-08-22,211,OWID,Scraped
Belgium,BE,2020-08-23,200,OWID,Scraped
Belgium,BE,2020-08-24,196,OWID,Scraped
Belgium,BE,2020-08-25,173,OWID,Scraped
Belgium,BE,2020-08-26,155,OWID,Scraped
Belgium,BE,2020-08-27,146,OWID,Scraped
Belgium,BE,2020-08-28,134,OWID,Scraped
Belgium,BE,2020-08-29,116,OWID,Scraped
Belgium,BE,2020-08-30,112,OWID,Scraped
Belgium,BE,2020-08-31,113,OWID,Scraped
Belgium,BE,2020-09-01,129,OWID,Scraped
Belgium,BE,2020-09-02,134,OWID,Scraped
Belgium,BE,2020-09-03,126,OWID,Scraped
Belgium,BE,2020-09-04,129,OWID,Scraped
Belgium,BE,2020-09-05,137,OWID,Scraped
Belgium,BE,2020-09-06,140,OWID,Scraped
Belgium,BE,2020-09-07,148,OWID,Scraped
Belgium,BE,2020-09-08,162,OWID,Scraped
Belgium,BE,2020-09-09,160,OWID,Scraped
Belgium,BE,2020-09-10,176,OWID,Scraped
Belgium,BE,2020-09-11,185,OWID,Scraped
Belgium,BE,2020-09-12,204,OWID,Scraped
Belgium,BE,2020-09-13,228,OWID,Scraped
Belgium,BE,2020-09-14,236,OWID,Scraped
Belgium,BE,2020-09-15,244,OWID,Scraped
Belgium,BE,2020-09-16,266,OWID,Scraped
Belgium,BE,2020-09-17,286,OWID,Scraped
Belgium,BE,2020-09-18,313,OWID,Scraped
Belgium,BE,2020-09-19,336,OWID,Scraped
Belgium,BE,2020-09-20,345,OWID,Scraped
Belgium,BE,2020-09-21,372,OWID,Scraped
Belgium,BE,2020-09-22,398,OWID,Scraped
Belgium,BE,2020-09-23,426,OWID,Scraped
Belgium,BE,2020-09-24,470,OWID,Scraped
Belgium,BE,2020-09-25,486,OWID,Scraped
Belgium,BE,2020-09-26,482,OWID,Scraped
Belgium,BE,2020-09-27,483,OWID,Scraped
Belgium,BE,2020-09-28,496,OWID,Scraped
Belgium,BE,2020-09-29,511,OWID,Scraped
Belgium,BE,2020-09-30,526,OWID,Scraped
Belgium,BE,2020-10-01,523,OWID,Scraped
Belgium,BE,2020-10-02,524,OWID,Scraped
Belgium,BE,2020-10-03,549,OWID,Scraped
Belgium,BE,2020-10-04,589,OWID,Scraped
Belgium,BE,2020-10-05,606,OWID,Scraped
Belgium,BE,2020-10-06,628,OWID,Scraped
Belgium,BE,2020-10-07,684,OWID,Scraped
Belgium,BE,2020-10-08,725,OWID,Scraped
Belgium,BE,2020-10-09,801,OWID,Scraped
Belgium,BE,2020-10-10,887,OWID,Scraped
Belgium,BE,2020-10-11,937,OWID,Scraped
Belgium,BE,2020-10-12,1025,OWID,Scraped
Belgium,BE,2020-10-13,1136,OWID,Scraped
Belgium,BE,2020-10-14,1257,OWID,Scraped
Belgium,BE,2020-10-15,1418,OWID,Scraped
Belgium,BE,2020-10-16,1519,OWID,Scraped
Belgium,BE,2020-10-17,1719,OWID,Scraped
Belgium,BE,2020-10-18,1849,OWID,Scraped
Belgium,BE,2020-10-19,1944,OWID,Scraped
Belgium,BE,2020-10-20,2148,OWID,Scraped
Belgium,BE,2020-10-21,2319,OWID,Scraped
Belgium,BE,2020-10-22,2547,OWID,Scraped
Belgium,BE,2020-10-23,2912,OWID,Scraped
Belgium,BE,2020-10-24,3157,OWID,Scraped
Belgium,BE,2020-10-25,3415,OWID,Scraped
Belgium,BE,2020-10-26,3686,OWID,Scraped
Belgium,BE,2020-10-27,3965,OWID,Scraped
Belgium,BE,2020-10-28,4287,OWID,Scraped
Belgium,BE,2020-10-29,4455,OWID,Scraped
Belgium,BE,2020-10-30,4586,OWID,Scraped
Belgium,BE,2020-10-31,4683,OWID,Scraped
Belgium,BE,2020-11-01,4732,OWID,Scraped
Belgium,BE,2020-11-02,4799,OWID,Scraped
Belgium,BE,2020-11-03,4991,OWID,Scraped
Belgium,BE,2020-11-04,4907,OWID,Scraped
Belgium,BE,2020-11-05,4796,OWID,Scraped
Belgium,BE,2020-11-06,4654,OWID,Scraped
Belgium,BE,2020-11-07,4463,OWID,Scraped
Belgium,BE,2020-11-08,4300,OWID,Scraped
Belgium,BE,2020-11-09,4131,OWID,Scraped
Belgium,BE,2020-11-10,3850,OWID,Scraped
Belgium,BE,2020-11-11,3740,OWID,Scraped
Belgium,BE,2020-11-12,3577,OWID,Scraped
Belgium,BE,2020-11-13,3497,OWID,Scraped
Belgium,BE,2020-11-14,3442,OWID,Scraped
Belgium,BE,2020-11-15,3332,OWID,Scraped
Belgium,BE,2020-11-16,3174,OWID,Scraped
Belgium,BE,2020-11-17,2936,OWID,Scraped
Belgium,BE,2020-11-18,2729,OWID,Scraped
Belgium,BE,2020-11-19,2678,OWID,Scraped
Belgium,BE,2020-11-20,2475,OWID,Scraped
Belgium,BE,2020-11-21,2275,OWID,Scraped
Belgium,BE,2020-11-22,2185,OWID,Scraped
Belgium,BE,2020-11-23,2111,OWID,Scraped
Belgium,BE,2020-11-24,2036,OWID,Scraped
Belgium,BE,2020-11-25,1963,OWID,Scraped
Belgium,BE,2020-11-26,1857,OWID,Scraped
Belgium,BE,2020-11-27,1768,OWID,Scraped
Belgium,BE,2020-11-28,1732,OWID,Scraped
Belgium,BE,2020-11-29,1666,OWID,Scraped
Belgium,BE,2020-11-30,1578,OWID,Scraped
Belgium,BE,2020-12-01,1481,OWID,Scraped
Belgium,BE,2020-12-02,1434,OWID,Scraped
Belgium,BE,2020-12-03,1373,OWID,Scraped
Belgium,BE,2020-12-04,1360,OWID,Scraped
Belgium,BE,2020-12-05,1361,OWID,Scraped
Belgium,BE,2020-12-06,1363,OWID,Scraped
Belgium,BE,2020-12-07,1387,OWID,Scraped
Belgium,BE,2020-12-08,1394,OWID,Scraped
Belgium,BE,2020-12-09,1341,OWID,Scraped
Belgium,BE,2020-12-10,1352,OWID,Scraped
Belgium,BE,2020-12-11,1315,OWID,Scraped
Belgium,BE,2020-12-12,1274,OWID,Scraped
Belgium,BE,2020-12-13,1310,OWID,Scraped
Belgium,BE,2020-12-14,1288,OWID,Scraped
Belgium,BE,2020-12-15,1298,OWID,Scraped
Belgium,BE,2020-12-16,1314,OWID,Scraped
Belgium,BE,2020-12-17,1315,OWID,Scraped
Belgium,BE,2020-12-18,1332,OWID,Scraped
Belgium,BE,2020-12-19,1345,OWID,Scraped
Belgium,BE,2020-12-20,1291,OWID,Scraped
Belgium,BE,2020-12-21,1305,OWID,Scraped
Belgium,BE,2020-12-22,1299,OWID,Scraped
Belgium,BE,2020-12-23,1288,OWID,Scraped
Belgium,BE,2020-12-24,1291,OWID,Scraped
Belgium,BE,2020-12-25,1241,OWID,Scraped
Belgium,BE,2020-12-26,1138,OWID,Scraped
Belgium,BE,2020-12-27,1163,OWID,Scraped
Belgium,BE,2020-12-28,1174,OWID,Scraped
Belgium,BE,2020-12-29,1163,OWID,Scraped
Belgium,BE,2020-12-30,1132,OWID,Scraped
Belgium,BE,2020-12-31,1066,OWID,Scraped
Belgium,BE,2021-01-01,1065,OWID,Scraped
Belgium,BE,2021-01-02,1080,OWID,Scraped
Belgium,BE,2021-01-03,1059,OWID,Scraped
Belgium,BE,2021-01-04,1019,OWID,Scraped
Belgium,BE,2021-01-05,960,OWID,Scraped
Belgium,BE,2021-01-06,946,OWID,Scraped
Belgium,BE,2021-01-07,957,OWID,Scraped
Belgium,BE,2021-01-08,948,OWID,Scraped
Belgium,BE,2021-01-09,975,OWID,Scraped
Belgium,BE,2021-01-10,923,OWID,Scraped
Belgium,BE,2021-01-11,907,OWID,Scraped
Belgium,BE,2021-01-12,897,OWID,Scraped
Belgium,BE,2021-01-13,894,OWID,Scraped
Belgium,BE,2021-01-14,871,OWID,Scraped
Belgium,BE,2021-01-15,872,OWID,Scraped
Belgium,BE,2021-01-16,846,OWID,Scraped
Belgium,BE,2021-01-17,840,OWID,Scraped
Belgium,BE,2021-01-18,851,OWID,Scraped
Belgium,BE,2021-01-19,899,OWID,Scraped
Belgium,BE,2021-01-20,901,OWID,Scraped
Belgium,BE,2021-01-21,916,OWID,Scraped
Belgium,BE,2021-01-22,932,OWID,Scraped
Belgium,BE,2021-01-23,964,OWID,Scraped
Belgium,BE,2021-01-24,991,OWID,Scraped
Belgium,BE,2021-01-25,978,OWID,Scraped
Belgium,BE,2021-01-26,944,OWID,Scraped
Belgium,BE,2021-01-27,921,OWID,Scraped
Belgium,BE,2021-01-28,911,OWID,Scraped
Belgium,BE,2021-01-29,872,OWID,Scraped
Belgium,BE,2021-01-30,866,OWID,Scraped
Belgium,BE,2021-01-31,837,OWID,Scraped
Belgium,BE,2021-02-01,873,OWID,Scraped
Belgium,BE,2021-02-02,862,OWID,Scraped
Belgium,BE,2021-02-03,883,OWID,Scraped
Belgium,BE,2021-02-04,886,OWID,Scraped
Belgium,BE,2021-02-05,911,OWID,Scraped
Belgium,BE,2021-02-06,897,OWID,Scraped
Belgium,BE,2021-02-07,928,OWID,Scraped
Belgium,BE,2021-02-08,872,OWID,Scraped
Belgium,BE,2021-02-09,893,OWID,Scraped
Belgium,BE,2021-02-10,883,OWID,Scraped
Belgium,BE,2021-02-11,879,OWID,Scraped
Belgium,BE,2021-02-12,867,OWID,Scraped
Belgium,BE,2021-02-13,851,OWID,Scraped
Belgium,BE,2021-02-14,834,OWID,Scraped
Belgium,BE,2021-02-15,846,OWID,Scraped
Belgium,BE,2021-02-16,828,OWID,Scraped
Belgium,BE,2021-02-17,837,OWID,Scraped
Belgium,BE,2021-02-18,842,OWID,Scraped
Belgium,BE,2021-02-19,835,OWID,Scraped
Belgium,BE,2021-02-20,840,OWID,Scraped
Belgium,BE,2021-02-21,837,OWID,Scraped
Belgium,BE,2021-02-22,868,OWID,Scraped
Belgium,BE,2021-02-23,878,OWID,Scraped
Belgium,BE,2021-02-24,887,OWID,Scraped
Belgium,BE,2021-02-25,887,OWID,Scraped
Belgium,BE,2021-02-26,966,OWID,Scraped
Belgium,BE,2021-02-27,1010,OWID,Scraped
Belgium,BE,2021-02-28,1049,OWID,Scraped
Belgium,BE,2021-03-01,1041,OWID,Scraped
Belgium,BE,2021-03-02,1062,OWID,Scraped
Belgium,BE,2021-03-03,1064,OWID,Scraped
Belgium,BE,2021-03-04,1093,OWID,Scraped
Belgium,BE,2021-03-05,1041,OWID,Scraped
Belgium,BE,2021-03-06,1026,OWID,Scraped
Belgium,BE,2021-03-07,1021,OWID,Scraped
Belgium,BE,2021-03-08,1027,OWID,Scraped
Belgium,BE,2021-03-09,1053,OWID,Scraped
Belgium,BE,2021-03-10,1055,OWID,Scraped
Belgium,BE,2021-03-11,1023,OWID,Scraped
Belgium,BE,2021-03-12,1041,OWID,Scraped
Belgium,BE,2021-03-13,1095,OWID,Scraped
Belgium,BE,2021-03-14,1132,OWID,Scraped
Belgium,BE,2021-03-15,1169,OWID,Scraped
Belgium,BE,2021-03-16,1175,OWID,Scraped
Belgium,BE,2021-03-17,1228,OWID,Scraped
Belgium,BE,2021-03-18,1297,OWID,Scraped
Belgium,BE,2021-03-19,1309,OWID,Scraped
Belgium,BE,2021-03-20,1357,OWID,Scraped
Belgium,BE,2021-03-21,1383,OWID,Scraped
Belgium,BE,2021-03-22,1434,OWID,Scraped
Belgium,BE,2021-03-23,1508,OWID,Scraped
Belgium,BE,2021-03-24,1552,OWID,Scraped
Belgium,BE,2021-03-25,1586,OWID,Scraped
Belgium,BE,2021-03-26,1612,OWID,Scraped
Belgium,BE,2021-03-27,1665,OWID,Scraped
Belgium,BE,2021-03-28,1693,OWID,Scraped
Belgium,BE,2021-03-29,1691,OWID,Scraped
Belgium,BE,2021-03-30,1728,OWID,Scraped
Belgium,BE,2021-03-31,1786,OWID,Scraped
Belgium,BE,2021-04-01,1834,OWID,Scraped
Belgium,BE,2021-04-02,1922,OWID,Scraped
Belgium,BE,2021-04-03,1885,OWID,Scraped
Belgium,BE,2021-04-04,1843,OWID,Scraped
Belgium,BE,2021-04-05,1874,OWID,Scraped
Belgium,BE,2021-04-06,1790,OWID,Scraped
Belgium,BE,2021-04-07,1814,OWID,Scraped
Belgium,BE,2021-04-08,1774,OWID,Scraped
Belgium,BE,2021-04-09,1753,OWID,Scraped
Belgium,BE,2021-04-10,1749,OWID,Scraped
Belgium,BE,2021-04-11,1780,OWID,Scraped
Belgium,BE,2021-04-12,1775,OWID,Scraped
Belgium,BE,2021-04-13,1807,OWID,Scraped
Belgium,BE,2021-04-14,1691,OWID,Scraped
Belgium,BE,2021-04-15,1680,OWID,Scraped
Belgium,BE,2021-04-16,1654,OWID,Scraped
Belgium,BE,2021-04-17,1644,OWID,Scraped
Belgium,BE,2021-04-18,1643,OWID,Scraped
Belgium,BE,2021-04-19,1628,OWID,Scraped
Belgium,BE,2021-04-20,1664,OWID,Scraped
Belgium,BE,2021-04-21,1691,OWID,Scraped
Belgium,BE,2021-04-22,1683,OWID,Scraped
Belgium,BE,2021-04-23,1656,OWID,Scraped
Belgium,BE,2021-04-24,1639,OWID,Scraped
Belgium,BE,2021-04-25,1600,OWID,Scraped
Belgium,BE,2021-04-26,1546,OWID,Scraped
Belgium,BE,2021-04-27,1474,OWID,Scraped
Belgium,BE,2021-04-28,1440,OWID,Scraped
Belgium,BE,2021-04-29,1415,OWID,Scraped
Belgium,BE,2021-04-30,1384,OWID,Scraped
Belgium,BE,2021-05-01,1351,OWID,Scraped
Belgium,BE,2021-05-02,1350,OWID,Scraped
Belgium,BE,2021-05-03,1347,OWID,Scraped
Belgium,BE,2021-05-04,1307,OWID,Scraped
Belgium,BE,2021-05-05,1261,OWID,Scraped
Belgium,BE,2021-05-06,1200,OWID,Scraped
Belgium,BE,2021-05-07,1172,OWID,Scraped
Belgium,BE,2021-05-08,1141,OWID,Scraped
Belgium,BE,2021-05-09,1139,OWID,Scraped
Belgium,BE,2021-05-10,1120,OWID,Scraped
Belgium,BE,2021-05-11,1095,OWID,Scraped
Belgium,BE,2021-05-12,1079,OWID,Scraped
Belgium,BE,2021-05-13,1078,OWID,Scraped
Belgium,BE,2021-05-14,1017,OWID,Scraped
Belgium,BE,2021-05-15,1021,OWID,Scraped
Belgium,BE,2021-05-16,967,OWID,Scraped
Belgium,BE,2021-05-17,932,OWID,Scraped
Belgium,BE,2021-05-18,897,OWID,Scraped
Belgium,BE,2021-05-19,890,OWID,Scraped
Belgium,BE,2021-05-20,867,OWID,Scraped
Belgium,BE,2021-05-21,892,OWID,Scraped
Belgium,BE,2021-05-22,847,OWID,Scraped
Belgium,BE,2021-05-23,830,OWID,Scraped
Belgium,BE,2021-05-24,807,OWID,Scraped
Belgium,BE,2021-05-25,766,OWID,Scraped
Belgium,BE,2021-05-26,735,OWID,Scraped
Belgium,BE,2021-05-27,705,OWID,Scraped
Belgium,BE,2021-05-28,661,OWID,Scraped
Belgium,BE,2021-05-29,630,OWID,Scraped
Belgium,BE,2021-05-30,611,OWID,Scraped
Belgium,BE,2021-05-31,591,OWID,Scraped
Belgium,BE,2021-06-01,593,OWID,Scraped
Belgium,BE,2021-06-02,564,OWID,Scraped
Belgium,BE,2021-06-03,548,OWID,Scraped
Belgium,BE,2021-06-04,539,OWID,Scraped
Belgium,BE,2021-06-05,523,OWID,Scraped
Belgium,BE,2021-06-06,500,OWID,Scraped
Belgium,BE,2021-06-07,486,OWID,Scraped
Belgium,BE,2021-06-08,467,OWID,Scraped
Belgium,BE,2021-06-09,451,OWID,Scraped
Belgium,BE,2021-06-10,424,OWID,Scraped
Belgium,BE,2021-06-11,397,OWID,Scraped
Belgium,BE,2021-06-12,366,OWID,Scraped
Belgium,BE,2021-06-13,345,OWID,Scraped
Belgium,BE,2021-06-14,343,OWID,Scraped
Belgium,BE,2021-06-15,315,OWID,Scraped
Belgium,BE,2021-06-16,277,OWID,Scraped
Belgium,BE,2021-06-17,262,OWID,Scraped
Belgium,BE,2021-06-18,244,OWID,Scraped
Belgium,BE,2021-06-19,232,OWID,Scraped
Belgium,BE,2021-06-20,235,OWID,Scraped
Belgium,BE,2021-06-21,222,OWID,Scraped
Belgium,BE,2021-06-22,201,OWID,Scraped
Belgium,BE,2021-06-23,203,OWID,Scraped
Belgium,BE,2021-06-24,200,OWID,Scraped
Belgium,BE,2021-06-25,186,OWID,Scraped
Belgium,BE,2021-06-26,177,OWID,Scraped
Belgium,BE,2021-06-27,161,OWID,Scraped
Belgium,BE,2021-06-28,149,OWID,Scraped
Belgium,BE,2021-06-29,143,OWID,Scraped
Belgium,BE,2021-06-30,128,OWID,Scraped
Belgium,BE,2021-07-01,105,OWID,Scraped
Belgium,BE,2021-07-02,112,OWID,Scraped
Belgium,BE,2021-07-03,105,OWID,Scraped
Belgium,BE,2021-07-04,109,OWID,Scraped
Belgium,BE,2021-07-05,105,OWID,Scraped
Belgium,BE,2021-07-06,111,OWID,Scraped
Belgium,BE,2021-07-07,125,OWID,Scraped
Belgium,BE,2021-07-08,125,OWID,Scraped
Belgium,BE,2021-07-09,123,OWID,Scraped
Belgium,BE,2021-07-10,122,OWID,Scraped
Belgium,BE,2021-07-11,118,OWID,Scraped
Belgium,BE,2021-07-12,122,OWID,Scraped
Belgium,BE,2021-07-13,126,OWID,Scraped
Belgium,BE,2021-07-14,120,OWID,Scraped
Belgium,BE,2021-07-15,142,OWID,Scraped
Belgium,BE,2021-07-16,149,OWID,Scraped
Belgium,BE,2021-07-17,161,OWID,Scraped
Belgium,BE,2021-07-18,169,OWID,Scraped
Belgium,BE,2021-07-19,181,OWID,Scraped
Belgium,BE,2021-07-20,183,OWID,Scraped
Belgium,BE,2021-07-21,189,OWID,Scraped
Belgium,BE,2021-07-22,188,OWID,Scraped
Belgium,BE,2021-07-23,188,OWID,Scraped
Belgium,BE,2021-07-24,194,OWID,Scraped
Belgium,BE,2021-07-25,201,OWID,Scraped
Belgium,BE,2021-07-26,199,OWID,Scraped
Belgium,BE,2021-07-27,208,OWID,Scraped
Belgium,BE,2021-07-28,223,OWID,Scraped
Belgium,BE,2021-07-29,232,OWID,Scraped
Belgium,BE,2021-07-30,232,OWID,Scraped
Belgium,BE,2021-07-31,240,OWID,Scraped
Belgium,BE,2021-08-01,251,OWID,Scraped
Belgium,BE,2021-08-02,267,OWID,Scraped
Belgium,BE,2021-08-03,272,OWID,Scraped
Belgium,BE,2021-08-04,269,OWID,Scraped
Belgium,BE,2021-08-05,270,OWID,Scraped
Belgium,BE,2021-08-06,286,OWID,Scraped
Belgium,BE,2021-08-07,296,OWID,Scraped
Belgium,BE,2021-08-08,303,OWID,Scraped
Belgium,BE,2021-08-09,313,OWID,Scraped
Belgium,BE,2021-08-10,333,OWID,Scraped
Belgium,BE,2021-08-11,338,OWID,Scraped
Belgium,BE,2021-08-12,358,OWID,Scraped
Belgium,BE,2021-08-13,381,OWID,Scraped
Belgium,BE,2021-08-14,382,OWID,Scraped
Belgium,BE,2021-08-15,384,OWID,Scraped
Belgium,BE,2021-08-16,382,OWID,Scraped
Belgium,BE,2021-08-17,402,OWID,Scraped
Belgium,BE,2021-08-18,423,OWID,Scraped
Belgium,BE,2021-08-19,425,OWID,Scraped
Belgium,BE,2021-08-20,408,OWID,Scraped
Belgium,BE,2021-08-21,415,OWID,Scraped
Belgium,BE,2021-08-22,415,OWID,Scraped
Belgium,BE,2021-08-23,425,OWID,Scraped
Belgium,BE,2021-08-24,415,OWID,Scraped
Belgium,BE,2021-08-25,406,OWID,Scraped
Belgium,BE,2021-08-26,403,OWID,Scraped
Belgium,BE,2021-08-27,412,OWID,Scraped
Belgium,BE,2021-08-28,421,OWID,Scraped
Belgium,BE,2021-08-29,421,OWID,Scraped
Belgium,BE,2021-08-30,420,OWID,Scraped
Belgium,BE,2021-08-31,429,OWID,Scraped
Belgium,BE,2021-09-01,438,OWID,Scraped
