forecast_date,target,target_end_date,location,type,quantile,value
2024-06-03,-1 wk ahead inc case,2024-05-25,AT,quantile,0.01,0
2024-06-03,-1 wk ahead inc case,2024-05-25,AT,quantile,0.025,0
2024-06-03,-1 wk ahead inc case,2024-05-25,AT,quantile,0.05,0
2024-06-03,-1 wk ahead inc case,2024-05-25,AT,quantile,0.1,0
2024-06-03,-1 wk ahead inc case,2024-05-25,AT,quantile,0.15,0
2024-06-03,-1 wk ahead inc case,2024-05-25,AT,quantile,0.2,0
2024-06-03,-1 wk ahead inc case,2024-05-25,AT,quantile,0.25,0
2024-06-03,-1 wk ahead inc case,2024-05-25,AT,quantile,0.3,1
2024-06-03,-1 wk ahead inc case,2024-05-25,AT,quantile,0.35,1
2024-06-03,-1 wk ahead inc case,2024-05-25,AT,quantile,0.4,1
2024-06-03,-1 wk ahead inc case,2024-05-25,AT,quantile,0.45,1
2024-06-03,-1 wk ahead inc case,2024-05-25,AT,quantile,0.5,1
2024-06-03,-1 wk ahead inc case,2024-05-25,AT,quantile,0.55,1
2024-06-03,-1 wk ahead inc case,2024-05-25,AT,quantile,0.6,1
2024-06-03,-1 wk ahead inc case,2024-05-25,AT,quantile,0.65,1
2024-06-03,-1 wk ahead inc case,2024-05-25,AT,quantile,0.7,2
2024-06-03,-1 wk ahead inc case,2024-05-25,AT,quantile,0.75,2
2024-06-03,-1 wk ahead inc case,2024-05-25,AT,quantile,0.8,2
2024-06-03,-1 wk ahead inc case,2024-05-25,AT,quantile,0.85,2
2024-06-03,-1 wk ahead inc case,2024-05-25,AT,quantile,0.9,2
2024-06-03,-1 wk ahead inc case,2024-05-25,AT,quantile,0.95,3
2024-06-03,-1 wk ahead inc case,2024-05-25,AT,quantile,0.975,3
2024-06-03,-1 wk ahead inc case,2024-05-25,AT,quantile,0.99,3
2024-06-03,0 wk ahead inc case,2024-06-01,AT,quantile,0.01,0
2024-06-03,0 wk ahead inc case,2024-06-01,AT,quantile,0.025,0
2024-06-03,0 wk ahead inc case,2024-06-01,AT,quantile,0.05,0
2024-06-03,0 wk ahead inc case,2024-06-01,AT,quantile,0.1,0
2024-06-03,0 wk ahead inc case,2024-06-01,AT,quantile,0.15,0
2024-06-03,0 wk ahead inc case,2024-06-01,AT,quantile,0.2,0
2024-06-03,0 wk ahead inc case,2024-06-01,AT,quantile,0.25,0
2024-06-03,0 wk ahead inc case,2024-06-01,AT,quantile,0.3,1
2024-06-03,0 wk ahead inc case,2024-06-01,AT,quantile,0.35,1
2024-06-03,0 wk ahead inc case,2024-06-01,AT,quantile,0.4,1
2024-06-03,0 wk ahead inc case,2024-06-01,AT,quantile,0.45,1
2024-06-03,0 wk ahead inc case,2024-06-01,AT,quantile,0.5,1
2024-06-03,0 wk ahead inc case,2024-06-01,AT,quantile,0.55,1
2024-06-03,0 wk ahead inc case,2024-06-01,AT,quantile,0.6,1
2024-06-03,0 wk ahead inc case,2024-06-01,AT,quantile,0.65,2
2024-06-03,0 wk ahead inc case,2024-06-01,AT,quantile,0.7,2
2024-06-03,0 wk ahead inc case,2024-06-01,AT,quantile,0.75,2
2024-06-03,0 wk ahead inc case,2024-06-01,AT,quantile,0.8,2
2024-06-03,0 wk ahead inc case,2024-06-01,AT,quantile,0.85,2
2024-06-03,0 wk ahead inc case,2024-06-01,AT,quantile,0.9,3
2024-06-03,0 wk ahead inc case,2024-06-01,AT,quantile,0.95,3
2024-06-03,0 wk ahead inc case,2024-06-01,AT,quantile,0.975,3
2024-06-03,0 wk ahead inc case,2024-06-01,AT,quantile,0.99,4
2024-06-03,1 wk ahead inc case,2024-06-08,AT,quantile,0.01,0
2024-06-03,1 wk ahead inc case,2024-06-08,AT,quantile,0.025,0
2024-06-03,1 wk ahead inc case,2024-06-08,AT,quantile,0.05,0
2024-06-03,1 wk ahead inc case,2024-06-08,AT,quantile,0.1,0
2024-06-03,1 wk ahead inc case,2024-06-08,AT,quantile,0.15,0
