weeks_included,model,target_variable,horizon,location,location_name,rel_ae,rel_wis,msr_baseline,cov_50,cov_95,bias,n,n_loc
52,ECDC-norrsken_blue,inc case,4,Overall,NA,1.15,0.61,0.57,0.55,0.97,0.41,379,25
52,ECDC-norrsken_green,inc case,4,Overall,NA,1.02,0.55,0.52,0.26,0.71,0.26,379,25
52,EuroCOVIDhub-baseline,inc case,4,Overall,NA,1,1,1,0.94,1,0.05,757,26
52,EuroCOVIDhub-ensemble,inc case,4,Overall,NA,0.9,0.46,0.51,0.68,0.96,0.14,603,26
52,epiforecasts-tsensemble,inc case,4,Overall,NA,1.15,0.57,0.58,0.45,0.81,-0,571,26
52,ECDC-norrsken_blue,inc case,3,Overall,NA,0.93,0.57,0.53,0.61,0.97,0.35,378,25
52,ECDC-norrsken_green,inc case,3,Overall,NA,0.9,0.55,0.5,0.28,0.7,0.29,378,25
52,EuroCOVIDhub-baseline,inc case,3,Overall,NA,1,1,1,0.93,1,0.06,756,26
52,EuroCOVIDhub-ensemble,inc case,3,Overall,NA,0.85,0.49,0.52,0.7,0.96,0.14,603,26
52,Lydia-SARIMA,inc case,3,Overall,NA,2.1,1.8,1.96,0.99,1,0.11,510,26
52,epiforecasts-tsensemble,inc case,3,Overall,NA,1.08,0.61,0.62,0.47,0.82,0.03,569,26
52,ECDC-norrsken_blue,inc case,2,Overall,NA,0.77,0.53,0.49,0.66,0.97,0.28,378,25
52,ECDC-norrsken_green,inc case,2,Overall,NA,0.79,0.53,0.49,0.28,0.7,0.28,378,25
52,EuroCOVIDhub-baseline,inc case,2,Overall,NA,1,1,1,0.9,1,0.06,755,26
52,EuroCOVIDhub-ensemble,inc case,2,Overall,NA,0.76,0.49,0.51,0.7,0.96,0.12,603,26
52,Lydia-SARIMA,inc case,2,Overall,NA,1.85,1.8,1.91,0.99,1,0.09,511,26
52,epiforecasts-tsensemble,inc case,2,Overall,NA,1.05,0.67,0.69,0.53,0.83,0.04,569,26
52,ECDC-norrsken_blue,inc case,1,Overall,NA,0.68,0.52,0.49,0.65,0.97,0.23,378,25
52,ECDC-norrsken_green,inc case,1,Overall,NA,0.73,0.55,0.52,0.26,0.67,0.29,378,25
52,EuroCOVIDhub-baseline,inc case,1,Overall,NA,1,1,1,0.79,1,0.08,755,27
52,EuroCOVIDhub-ensemble,inc case,1,Overall,NA,0.69,0.5,0.53,0.67,0.97,0.12,604,27
52,Lydia-SARIMA,inc case,1,Overall,NA,1.59,1.74,1.77,0.98,1,0.08,512,26
52,epiforecasts-tsensemble,inc case,1,Overall,NA,1.04,0.76,0.78,0.57,0.84,0.05,570,26
52,ECDC-norrsken_blue,inc death,1,Overall,NA,2.32,1.72,1.94,0.45,0.93,0.51,148,13
52,ECDC-norrsken_green,inc death,1,Overall,NA,1.73,1.37,1.54,0.28,0.56,0.58,148,13
52,EuroCOVIDhub-baseline,inc death,1,Overall,NA,1,1,1,0.77,0.98,-0.05,612,22
52,EuroCOVIDhub-ensemble,inc death,1,Overall,NA,1.02,0.79,0.75,0.63,0.95,-0.03,376,21
52,Lydia-SARIMA,inc death,1,Overall,NA,1.25,1.48,1.15,0.83,0.95,-0.02,331,22
52,epiforecasts-tsensemble,inc death,1,Overall,NA,1.19,0.93,0.99,0.54,0.84,-0.01,358,21
52,ECDC-norrsken_blue,inc death,2,Overall,NA,2.92,1.81,1.87,0.38,0.97,0.57,148,13
52,ECDC-norrsken_green,inc death,2,Overall,NA,2.19,1.43,1.49,0.29,0.54,0.62,148,13
52,EuroCOVIDhub-baseline,inc death,2,Overall,NA,1,1,1,0.85,0.98,-0.04,611,22
52,EuroCOVIDhub-ensemble,inc death,2,Overall,NA,1.03,0.75,0.73,0.65,0.95,0.02,375,21
52,Lydia-SARIMA,inc death,2,Overall,NA,1.26,1.52,1.3,0.85,0.97,0,330,22
52,epiforecasts-tsensemble,inc death,2,Overall,NA,1.19,0.84,0.94,0.55,0.79,0,357,21
52,ECDC-norrsken_blue,inc death,3,Overall,NA,3.66,2,1.96,0.33,0.95,0.61,148,13
52,ECDC-norrsken_green,inc death,3,Overall,NA,2.78,1.63,1.6,0.32,0.6,0.64,148,13
52,EuroCOVIDhub-baseline,inc death,3,Overall,NA,1,1,1,0.89,0.99,-0.03,610,22
52,EuroCOVIDhub-ensemble,inc death,3,Overall,NA,1.08,0.74,0.72,0.65,0.96,0.04,376,21
52,Lydia-SARIMA,inc death,3,Overall,NA,1.32,1.57,1.41,0.9,0.99,0.02,329,22
52,epiforecasts-tsensemble,inc death,3,Overall,NA,1.16,0.78,0.91,0.55,0.81,0.01,356,21
52,ECDC-norrsken_blue,inc death,4,Overall,NA,4.59,2.36,2.09,0.29,0.97,0.64,149,13
52,ECDC-norrsken_green,inc death,4,Overall,NA,4,2.25,1.99,0.28,0.59,0.66,149,13
52,EuroCOVIDhub-baseline,inc death,4,Overall,NA,1,1,1,0.9,1,-0.03,609,22
52,EuroCOVIDhub-ensemble,inc death,4,Overall,NA,1.11,0.72,0.72,0.66,0.97,0.05,377,21
52,epiforecasts-tsensemble,inc death,4,Overall,NA,1.18,0.69,0.89,0.56,0.82,0.01,357,21
52,ECDC-norrsken_green,inc hosp,1,Overall,NA,1.31,1.2,1.18,0.24,0.53,0.76,17,1
52,EuroCOVIDhub-baseline,inc hosp,1,Overall,NA,1,1,1,0.81,1,-0.01,31,1
52,EuroCOVIDhub-ensemble,inc hosp,1,Overall,NA,0.99,0.85,0.85,0.68,1,-0,28,1
52,epiforecasts-tsensemble,inc hosp,1,Overall,NA,1.09,0.99,1.01,0.5,0.86,-0.16,28,1
52,ECDC-norrsken_green,inc hosp,2,Overall,NA,1.23,1.17,1.12,0.24,0.59,0.74,17,1
