weeks_included,model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
10,USyd-OneModelMan,inc death,4,Overall,0.72,NA,NA,NA,NA,281,31,NA
10,epiforecasts-EpiNow2,inc death,4,Overall,1.26,1.17,0.52,0.91,-0,277,31,NA
10,EuroCOVIDhub-baseline,inc death,3,Overall,1,1,0.88,0.99,-0.12,278,30,NA
10,EuroCOVIDhub-ensemble,inc death,3,Overall,0.62,0.5,0.64,0.96,-0.08,278,30,NA
10,IEM_Health-CovidProject,inc death,3,Overall,0.81,0.69,0.44,0.79,-0.2,267,29,NA
10,ILM-EKF,inc death,3,Overall,0.8,0.78,0.78,0.97,0.01,277,30,NA
10,Karlen-pypm,inc death,3,Overall,1.08,0.86,0.38,0.87,-0.1,191,27,NA
10,LANL-GrowthRate,inc death,3,Overall,0.63,0.59,0.31,0.67,-0.23,278,30,NA
10,MUNI-ARIMA,inc death,3,Overall,0.88,0.73,0.71,0.96,-0.19,278,30,NA
10,RobertWalraven-ESG,inc death,3,Overall,0.91,0.81,0.63,0.8,-0.3,278,30,NA
10,UMass-MechBayes,inc death,3,Overall,0.99,0.85,0.46,0.84,-0.06,278,30,NA
10,USC-SIkJalpha,inc death,3,Overall,0.83,0.82,0.29,0.43,-0.01,278,30,NA
10,USyd-OneModelMan,inc death,3,Overall,0.72,NA,NA,NA,NA,278,30,NA
10,epiforecasts-EpiNow2,inc death,3,Overall,1.09,0.93,0.52,0.91,0.06,276,30,NA
10,EuroCOVIDhub-baseline,inc death,2,Overall,1,1,0.81,0.99,-0.14,278,30,NA
10,EuroCOVIDhub-ensemble,inc death,2,Overall,0.62,0.47,0.63,0.97,-0.08,278,30,NA
10,IEM_Health-CovidProject,inc death,2,Overall,0.82,0.67,0.41,0.75,-0.16,267,29,NA
10,ILM-EKF,inc death,2,Overall,0.71,0.74,0.85,0.99,0.05,278,30,NA
10,Karlen-pypm,inc death,2,Overall,0.91,0.67,0.43,0.94,-0.14,215,27,NA
10,LANL-GrowthRate,inc death,2,Overall,0.74,0.63,0.37,0.73,-0.21,278,30,NA
10,MUNI-ARIMA,inc death,2,Overall,0.84,0.67,0.7,0.97,-0.16,278,30,NA
10,RobertWalraven-ESG,inc death,2,Overall,0.88,0.74,0.61,0.85,-0.23,278,30,NA
10,UMass-MechBayes,inc death,2,Overall,0.94,0.74,0.46,0.88,-0.01,278,30,NA
10,USC-SIkJalpha,inc death,2,Overall,0.89,0.83,0.27,0.44,-0.01,278,30,NA
10,USyd-OneModelMan,inc death,2,Overall,0.77,NA,NA,NA,NA,278,30,NA
10,epiforecasts-EpiNow2,inc death,2,Overall,0.97,0.76,0.5,0.94,0.06,276,30,NA
10,BIOCOMSC-Gompertz,inc death,1,Overall,1.23,NA,0.35,0.83,NA,134,29,NA
10,EuroCOVIDhub-baseline,inc death,1,Overall,1,1,0.73,1,-0.13,280,30,NA
10,EuroCOVIDhub-ensemble,inc death,1,Overall,0.79,0.58,0.64,0.97,-0.07,280,30,NA
10,IEM_Health-CovidProject,inc death,1,Overall,0.95,0.75,0.44,0.79,-0.11,269,29,NA
10,ILM-EKF,inc death,1,Overall,0.86,0.9,0.9,0.99,0.06,280,30,NA
10,Karlen-pypm,inc death,1,Overall,1.01,0.74,0.54,0.96,-0.16,242,27,NA
10,LANL-GrowthRate,inc death,1,Overall,0.94,0.78,0.41,0.8,-0.2,280,30,NA
10,MUNI-ARIMA,inc death,1,Overall,0.96,0.74,0.67,0.96,-0.1,280,30,NA
10,RobertWalraven-ESG,inc death,1,Overall,0.96,0.77,0.64,0.87,-0.14,280,30,NA
10,SDSC_ISG-TrendModel,inc death,1,Overall,1,NA,NA,NA,NA,280,30,NA
10,UMass-MechBayes,inc death,1,Overall,1.29,0.95,0.44,0.9,0,280,30,NA
10,USC-SIkJalpha,inc death,1,Overall,1.11,1.07,0.27,0.43,0.02,280,30,NA
10,USyd-OneModelMan,inc death,1,Overall,0.96,NA,NA,NA,NA,280,30,NA
10,epiforecasts-EpiNow2,inc death,1,Overall,1.16,0.84,0.54,0.95,0.02,278,30,NA
10,LANL-GrowthRate,inc death,5,Overall,NA,NA,0.26,0.61,-0.28,281,31,NA
10,USC-SIkJalpha,inc death,5,Overall,NA,NA,0.3,0.44,-0.17,281,31,NA
10,EuroCOVIDhub-baseline,inc hosp,1,Overall,1,1,0.36,1,-0.47,64,8,NA
10,Karlen-pypm,inc hosp,1,Overall,0.6,0.65,0.4,0.81,-0.16,48,8,NA
10,EuroCOVIDhub-baseline,inc hosp,2,Overall,1,1,0.36,1,-0.49,56,8,NA
10,Karlen-pypm,inc hosp,2,Overall,0.52,0.56,0.28,0.82,-0.14,40,8,NA
10,EuroCOVIDhub-baseline,inc hosp,3,Overall,1,1,0.35,1,-0.5,48,8,NA
10,Karlen-pypm,inc hosp,3,Overall,0.49,0.61,0.28,0.78,-0.12,32,8,NA
10,EuroCOVIDhub-baseline,inc case,4,AT,1,1,0.4,1,-0.61,10,1,Austria
10,EuroCOVIDhub-ensemble,inc case,4,AT,0.78,0.96,0.2,0.7,-0.4,10,1,Austria
10,IEM_Health-CovidProject,inc case,4,AT,0.63,0.83,0.2,0.6,-0.65,10,1,Austria
10,ILM-EKF,inc case,4,AT,1.1,1.38,0.3,0.6,-0.23,10,1,Austria
10,Karlen-pypm,inc case,4,AT,2.78,3.07,0.14,0.57,0.3,7,1,Austria
10,LANL-GrowthRate,inc case,4,AT,0.75,1.01,0.2,0.4,-0.82,10,1,Austria
10,MUNI-ARIMA,inc case,4,AT,0.55,0.66,0.5,1,-0.41,10,1,Austria
10,RobertWalraven-ESG,inc case,4,AT,1.1,1.7,0,0.1,-0.99,10,1,Austria
10,USC-SIkJalpha,inc case,4,AT,0.84,1.39,0.1,0.1,-0.53,10,1,Austria
10,UVA-Ensemble,inc case,4,AT,0.98,NA,0,0.5,NA,10,1,Austria
10,epiforecasts-EpiNow2,inc case,4,AT,4.2,5.61,0.3,0.5,-0.13,10,1,Austria
10,EuroCOVIDhub-baseline,inc case,3,AT,1,1,0.4,1,-0.62,10,1,Austria
10,EuroCOVIDhub-ensemble,inc case,3,AT,0.55,0.69,0.3,0.8,-0.24,10,1,Austria
10,IEM_Health-CovidProject,inc case,3,AT,0.69,0.86,0.1,0.7,-0.31,10,1,Austria
10,ILM-EKF,inc case,3,AT,0.97,1.16,0.4,0.7,-0.09,10,1,Austria
10,Karlen-pypm,inc case,3,AT,1.8,2.04,0.12,0.75,0.32,8,1,Austria
10,LANL-GrowthRate,inc case,3,AT,0.57,0.87,0.4,0.6,-0.56,10,1,Austria
10,MUNI-ARIMA,inc case,3,AT,0.47,0.61,0.7,1,-0.35,10,1,Austria
10,RobertWalraven-ESG,inc case,3,AT,1.01,1.47,0,0,-1,10,1,Austria
10,USC-SIkJalpha,inc case,3,AT,0.66,1.02,0.1,0.3,-0.47,10,1,Austria
10,UVA-Ensemble,inc case,3,AT,1.17,NA,0.3,0.7,NA,10,1,Austria
10,epiforecasts-EpiNow2,inc case,3,AT,2.51,3.16,0.3,0.6,-0.12,10,1,Austria
10,EuroCOVIDhub-baseline,inc case,2,AT,1,1,0.3,1,-0.64,10,1,Austria
10,EuroCOVIDhub-ensemble,inc case,2,AT,0.37,0.54,0.6,0.8,-0.16,10,1,Austria
10,IEM_Health-CovidProject,inc case,2,AT,0.53,0.65,0.4,0.7,-0.07,10,1,Austria
10,ILM-EKF,inc case,2,AT,0.78,0.93,0.5,0.7,-0.01,10,1,Austria
10,Karlen-pypm,inc case,2,AT,1.17,1.34,0.44,0.78,0.31,9,1,Austria
10,LANL-GrowthRate,inc case,2,AT,0.62,0.74,0.5,0.7,-0.35,10,1,Austria
10,MUNI-ARIMA,inc case,2,AT,0.41,0.54,0.6,1,-0.2,10,1,Austria
10,RobertWalraven-ESG,inc case,2,AT,0.88,1.15,0,0.1,-0.96,10,1,Austria
10,USC-SIkJalpha,inc case,2,AT,0.61,0.82,0.1,0.5,-0.46,10,1,Austria
10,UVA-Ensemble,inc case,2,AT,1.11,NA,0.3,0.9,NA,10,1,Austria
10,epiforecasts-EpiNow2,inc case,2,AT,1.46,1.73,0.4,0.8,-0.07,10,1,Austria
10,BIOCOMSC-Gompertz,inc case,1,AT,0.72,NA,0.57,1,NA,7,1,Austria
10,EuroCOVIDhub-baseline,inc case,1,AT,1,1,0.3,1,-0.64,10,1,Austria
10,EuroCOVIDhub-ensemble,inc case,1,AT,0.46,0.47,0.7,0.9,-0.06,10,1,Austria
10,IEM_Health-CovidProject,inc case,1,AT,0.46,0.53,0.6,0.8,-0.03,10,1,Austria
10,ILM-EKF,inc case,1,AT,0.77,0.9,0.6,0.8,0.01,10,1,Austria
10,Karlen-pypm,inc case,1,AT,0.89,0.95,0.6,1,0.27,10,1,Austria
10,LANL-GrowthRate,inc case,1,AT,0.5,0.61,0.4,0.9,-0.21,10,1,Austria
10,MUNI-ARIMA,inc case,1,AT,0.41,0.46,0.7,1,0.02,10,1,Austria
10,RobertWalraven-ESG,inc case,1,AT,0.75,0.83,0.3,0.7,-0.75,10,1,Austria
10,SDSC_ISG-TrendModel,inc case,1,AT,0.43,NA,NA,NA,NA,10,1,Austria
10,USC-SIkJalpha,inc case,1,AT,0.51,0.66,0.4,0.8,-0.33,10,1,Austria
10,UVA-Ensemble,inc case,1,AT,1.44,NA,0.5,1,NA,10,1,Austria
10,epiforecasts-EpiNow2,inc case,1,AT,1.26,1.25,0.4,0.9,0.03,10,1,Austria
10,LANL-GrowthRate,inc case,5,AT,NA,NA,0.1,0.3,-0.89,10,1,Austria
10,USC-SIkJalpha,inc case,5,AT,NA,NA,0,0,-0.6,10,1,Austria
10,EuroCOVIDhub-baseline,inc death,4,AT,1,1,1,1,-0.05,10,1,Austria
10,EuroCOVIDhub-ensemble,inc death,4,AT,0.65,0.56,0.4,1,0.18,10,1,Austria
10,IEM_Health-CovidProject,inc death,4,AT,0.96,0.8,0.3,0.8,-0.28,10,1,Austria
10,ILM-EKF,inc death,4,AT,0.51,0.62,0.7,1,0.06,10,1,Austria
10,Karlen-pypm,inc death,4,AT,1.63,1.15,0.29,0.86,0.23,7,1,Austria
10,LANL-GrowthRate,inc death,4,AT,0.98,0.99,0.2,0.6,0.03,10,1,Austria
10,MUNI-ARIMA,inc death,4,AT,0.96,0.73,0.7,1,-0.23,10,1,Austria
10,RobertWalraven-ESG,inc death,4,AT,0.58,0.47,0.8,0.9,-0.23,10,1,Austria
10,UMass-MechBayes,inc death,4,AT,0.99,0.89,0.4,0.8,0.21,10,1,Austria
10,USC-SIkJalpha,inc death,4,AT,0.81,0.76,0.1,0.2,0.12,10,1,Austria
10,USyd-OneModelMan,inc death,4,AT,0.82,NA,NA,NA,NA,10,1,Austria
10,epiforecasts-EpiNow2,inc death,4,AT,3.2,2.51,0.6,0.9,0.27,10,1,Austria
10,EuroCOVIDhub-baseline,inc death,3,AT,1,1,1,1,-0.11,10,1,Austria
10,EuroCOVIDhub-ensemble,inc death,3,AT,0.66,0.52,0.4,1,0.15,10,1,Austria
10,IEM_Health-CovidProject,inc death,3,AT,0.75,0.63,0.4,0.8,-0.26,10,1,Austria
10,ILM-EKF,inc death,3,AT,0.63,0.61,0.8,1,0.12,10,1,Austria
10,Karlen-pypm,inc death,3,AT,1.08,0.8,0.25,0.75,0.26,8,1,Austria
10,LANL-GrowthRate,inc death,3,AT,0.99,1.04,0.2,0.5,-0.05,10,1,Austria
10,MUNI-ARIMA,inc death,3,AT,0.9,0.7,0.7,1,-0.2,10,1,Austria
10,RobertWalraven-ESG,inc death,3,AT,0.67,0.52,0.8,0.9,-0.18,10,1,Austria
10,UMass-MechBayes,inc death,3,AT,0.62,0.45,0.4,0.8,0.41,10,1,Austria
10,USC-SIkJalpha,inc death,3,AT,0.83,0.85,0,0.1,0.58,10,1,Austria
10,USyd-OneModelMan,inc death,3,AT,0.67,NA,NA,NA,NA,10,1,Austria
10,epiforecasts-EpiNow2,inc death,3,AT,1.64,1.36,0.3,0.9,0.35,10,1,Austria
10,EuroCOVIDhub-baseline,inc death,2,AT,1,1,0.8,1,-0.14,10,1,Austria
10,EuroCOVIDhub-ensemble,inc death,2,AT,0.84,0.62,0.4,0.9,0.13,10,1,Austria
10,IEM_Health-CovidProject,inc death,2,AT,0.53,0.49,0.2,0.7,-0.15,10,1,Austria
10,ILM-EKF,inc death,2,AT,0.65,0.66,0.8,1,0.16,10,1,Austria
10,Karlen-pypm,inc death,2,AT,0.91,0.71,0.44,0.78,0.17,9,1,Austria
10,LANL-GrowthRate,inc death,2,AT,1.08,1.09,0.2,0.5,-0.13,10,1,Austria
10,MUNI-ARIMA,inc death,2,AT,0.85,0.66,0.5,1,-0.15,10,1,Austria
10,RobertWalraven-ESG,inc death,2,AT,0.84,0.69,0.6,0.9,-0.06,10,1,Austria
10,UMass-MechBayes,inc death,2,AT,0.74,0.58,0.4,0.9,0.25,10,1,Austria
10,USC-SIkJalpha,inc death,2,AT,0.88,0.98,0.2,0.2,0.29,10,1,Austria
10,USyd-OneModelMan,inc death,2,AT,0.6,NA,NA,NA,NA,10,1,Austria
10,epiforecasts-EpiNow2,inc death,2,AT,1.04,0.87,0.3,0.9,0.3,10,1,Austria
10,EuroCOVIDhub-baseline,inc death,1,AT,1,1,0.9,1,-0.1,10,1,Austria
10,EuroCOVIDhub-ensemble,inc death,1,AT,0.73,0.6,0.5,0.9,0.04,10,1,Austria
10,IEM_Health-CovidProject,inc death,1,AT,0.61,0.65,0.1,0.8,0,10,1,Austria
10,ILM-EKF,inc death,1,AT,0.69,0.84,0.9,1,0.17,10,1,Austria
10,Karlen-pypm,inc death,1,AT,0.8,0.75,0.4,0.9,0.03,10,1,Austria
10,LANL-GrowthRate,inc death,1,AT,1.15,1.2,0.4,0.7,-0.12,10,1,Austria
10,MUNI-ARIMA,inc death,1,AT,0.69,0.72,0.6,1,0.01,10,1,Austria
10,RobertWalraven-ESG,inc death,1,AT,0.66,0.6,0.9,0.9,0.05,10,1,Austria
10,SDSC_ISG-TrendModel,inc death,1,AT,0.8,NA,NA,NA,NA,10,1,Austria
10,UMass-MechBayes,inc death,1,AT,0.97,0.88,0.1,0.8,0.24,10,1,Austria
10,USC-SIkJalpha,inc death,1,AT,0.86,0.94,0.2,0.6,0.07,10,1,Austria
10,USyd-OneModelMan,inc death,1,AT,0.71,NA,NA,NA,NA,10,1,Austria
10,epiforecasts-EpiNow2,inc death,1,AT,0.72,0.69,0.5,1,0.23,10,1,Austria
10,LANL-GrowthRate,inc death,5,AT,NA,NA,0.1,0.4,0.14,10,1,Austria
10,USC-SIkJalpha,inc death,5,AT,NA,NA,0.1,0.3,0.15,10,1,Austria
10,EuroCOVIDhub-baseline,inc case,4,BE,1,1,0.7,1,-0.39,10,1,Belgium
10,EuroCOVIDhub-ensemble,inc case,4,BE,1.11,1.35,0.7,0.8,-0.29,10,1,Belgium
10,IEM_Health-CovidProject,inc case,4,BE,1.36,1.37,0.4,0.7,-0.22,10,1,Belgium
10,ILM-EKF,inc case,4,BE,2.36,2.47,0.5,0.8,0.02,10,1,Belgium
10,Karlen-pypm,inc case,4,BE,6.05,6.57,0.43,0.71,-0.06,7,1,Belgium
10,LANL-GrowthRate,inc case,4,BE,1.62,1.36,0.4,0.6,-0.72,10,1,Belgium
10,MUNI-ARIMA,inc case,4,BE,1.74,1.7,0.6,1,-0.41,10,1,Belgium
10,RobertWalraven-ESG,inc case,4,BE,1.37,1.24,0.3,0.7,-0.68,10,1,Belgium
10,USC-SIkJalpha,inc case,4,BE,6.71,8.99,0.1,0.2,-0.31,10,1,Belgium
10,UVA-Ensemble,inc case,4,BE,1.61,NA,0,0.4,NA,10,1,Belgium
10,epiforecasts-EpiNow2,inc case,4,BE,1.49,2.39,0.7,0.7,-0.38,10,1,Belgium
10,EuroCOVIDhub-baseline,inc case,3,BE,1,1,0.8,1,-0.33,10,1,Belgium
10,EuroCOVIDhub-ensemble,inc case,3,BE,1,1.2,0.8,0.9,-0.19,10,1,Belgium
10,IEM_Health-CovidProject,inc case,3,BE,1.46,1.3,0.4,0.8,-0.01,10,1,Belgium
10,ILM-EKF,inc case,3,BE,1.95,1.91,0.7,0.8,0.08,10,1,Belgium
10,Karlen-pypm,inc case,3,BE,4.11,4.13,0.38,0.88,-0.1,8,1,Belgium
10,LANL-GrowthRate,inc case,3,BE,1.84,1.44,0.5,0.7,-0.63,10,1,Belgium
10,MUNI-ARIMA,inc case,3,BE,1.95,1.89,0.6,0.9,-0.37,10,1,Belgium
10,RobertWalraven-ESG,inc case,3,BE,1.47,1.21,0.3,0.8,-0.53,10,1,Belgium
10,USC-SIkJalpha,inc case,3,BE,4.47,5.34,0.2,0.2,-0.15,10,1,Belgium
10,UVA-Ensemble,inc case,3,BE,2.22,NA,0.3,0.7,NA,10,1,Belgium
10,epiforecasts-EpiNow2,inc case,3,BE,1.58,2.18,0.8,0.8,-0.32,10,1,Belgium
10,EuroCOVIDhub-baseline,inc case,2,BE,1,1,0.9,1,-0.31,10,1,Belgium
10,EuroCOVIDhub-ensemble,inc case,2,BE,0.96,1.07,0.9,0.9,-0.17,10,1,Belgium
10,IEM_Health-CovidProject,inc case,2,BE,1.59,1.22,0.4,0.9,0.16,10,1,Belgium
10,ILM-EKF,inc case,2,BE,1.55,1.48,0.8,0.9,0.17,10,1,Belgium
10,Karlen-pypm,inc case,2,BE,2.97,2.6,0.44,1,-0.1,9,1,Belgium
10,LANL-GrowthRate,inc case,2,BE,2.61,1.84,0.6,0.8,-0.57,10,1,Belgium
10,MUNI-ARIMA,inc case,2,BE,2.37,2.2,0.7,0.8,-0.31,10,1,Belgium
10,RobertWalraven-ESG,inc case,2,BE,1.64,1.18,0.2,0.9,-0.43,10,1,Belgium
10,USC-SIkJalpha,inc case,2,BE,3.01,3.12,0.2,0.3,-0.03,10,1,Belgium
10,UVA-Ensemble,inc case,2,BE,3.53,NA,0,0.7,NA,10,1,Belgium
10,epiforecasts-EpiNow2,inc case,2,BE,1.88,2.11,0.9,0.9,-0.28,10,1,Belgium
10,EuroCOVIDhub-baseline,inc case,1,BE,1,1,0.9,1,-0.29,10,1,Belgium
10,EuroCOVIDhub-ensemble,inc case,1,BE,1.14,1.08,0.9,1,-0.17,10,1,Belgium
10,IEM_Health-CovidProject,inc case,1,BE,1.85,1.19,0.4,1,0.23,10,1,Belgium
10,ILM-EKF,inc case,1,BE,1.56,1.28,0.8,1,0.15,10,1,Belgium
10,Karlen-pypm,inc case,1,BE,2.45,1.72,0.7,1,-0.12,10,1,Belgium
10,LANL-GrowthRate,inc case,1,BE,4.99,3.03,0.6,0.9,-0.55,10,1,Belgium
10,MUNI-ARIMA,inc case,1,BE,3.42,3.1,0.6,0.8,-0.27,10,1,Belgium
10,RobertWalraven-ESG,inc case,1,BE,1.91,1.21,0.5,1,-0.29,10,1,Belgium
10,SDSC_ISG-TrendModel,inc case,1,BE,2.62,NA,NA,NA,NA,10,1,Belgium
10,USC-SIkJalpha,inc case,1,BE,2.29,2.02,0.2,0.5,0.16,10,1,Belgium
10,UVA-Ensemble,inc case,1,BE,9.16,NA,0,0.2,NA,10,1,Belgium
10,epiforecasts-EpiNow2,inc case,1,BE,3.4,2.74,0.9,1,-0.29,10,1,Belgium
10,LANL-GrowthRate,inc case,5,BE,NA,NA,0.1,0.6,-0.8,10,1,Belgium
10,USC-SIkJalpha,inc case,5,BE,NA,NA,0.1,0.1,-0.49,10,1,Belgium
10,EuroCOVIDhub-baseline,inc death,4,BE,1,1,1,1,-0.04,10,1,Belgium
10,EuroCOVIDhub-ensemble,inc death,4,BE,0.56,0.2,0.8,1,-0.22,10,1,Belgium
10,IEM_Health-CovidProject,inc death,4,BE,0.98,0.33,0.3,0.9,-0.19,10,1,Belgium
10,ILM-EKF,inc death,4,BE,0.55,0.34,0.9,1,-0.05,10,1,Belgium
10,Karlen-pypm,inc death,4,BE,1.91,0.57,0.14,0.86,-0.17,7,1,Belgium
10,LANL-GrowthRate,inc death,4,BE,0.8,0.32,0.3,0.5,-0.52,10,1,Belgium
10,MUNI-ARIMA,inc death,4,BE,1.37,0.46,0.7,1,-0.3,10,1,Belgium
10,RobertWalraven-ESG,inc death,4,BE,0.78,0.27,0.8,1,-0.3,10,1,Belgium
10,UMass-MechBayes,inc death,4,BE,0.76,0.19,0.4,0.9,-0.54,10,1,Belgium
10,USC-SIkJalpha,inc death,4,BE,0.31,0.09,0.4,0.8,-0.27,10,1,Belgium
10,USyd-OneModelMan,inc death,4,BE,0.85,NA,NA,NA,NA,10,1,Belgium
10,epiforecasts-EpiNow2,inc death,4,BE,0.73,0.31,0.6,1,-0.3,10,1,Belgium
10,EuroCOVIDhub-baseline,inc death,3,BE,1,1,1,1,-0.09,10,1,Belgium
10,EuroCOVIDhub-ensemble,inc death,3,BE,0.54,0.2,0.9,1,-0.2,10,1,Belgium
10,IEM_Health-CovidProject,inc death,3,BE,0.86,0.27,0.5,0.9,-0.25,10,1,Belgium
10,ILM-EKF,inc death,3,BE,0.51,0.35,1,1,0.02,10,1,Belgium
10,Karlen-pypm,inc death,3,BE,1.27,0.36,0.38,1,-0.14,8,1,Belgium
10,LANL-GrowthRate,inc death,3,BE,1.21,0.39,0.3,0.5,-0.51,10,1,Belgium
10,MUNI-ARIMA,inc death,3,BE,1.16,0.38,0.8,1,-0.38,10,1,Belgium
10,RobertWalraven-ESG,inc death,3,BE,0.78,0.26,0.9,1,-0.3,10,1,Belgium
10,UMass-MechBayes,inc death,3,BE,0.8,0.19,0.4,0.9,-0.48,10,1,Belgium
10,USC-SIkJalpha,inc death,3,BE,0.45,0.17,0.6,0.6,0.03,10,1,Belgium
10,USyd-OneModelMan,inc death,3,BE,0.78,NA,NA,NA,NA,10,1,Belgium
