weeks_included,model,target_variable,horizon,location,rel_ae,rel_wis,msr_baseline,cov_50,cov_95,bias,n,n_loc,location_name
10,epiforecasts-EpiNow2,inc hosp,1,MT,0.81,1,1,0.75,1,0.3,4,1,Malta
10,epiforecasts-tsensemble,inc hosp,1,MT,1.07,1,1,0.57,1,0.14,7,1,Malta
10,epiforecasts-weeklygrowth,inc hosp,1,MT,0.96,1.54,1.54,1,1,-0.15,4,1,Malta
10,EuroCOVIDhub-baseline,inc hosp,1,SK,1,1,1,0.71,1,0.16,7,1,Slovakia
10,epiforecasts-EpiNow2,inc hosp,1,SK,0.66,0.64,0.65,0.75,1,0.38,4,1,Slovakia
10,epiforecasts-tsensemble,inc hosp,1,SK,1.13,1.09,1.08,0.29,0.71,0.14,7,1,Slovakia
10,epiforecasts-weeklygrowth,inc hosp,1,SK,0.94,1.18,1.19,0.5,1,0.42,4,1,Slovakia
All,EuroCOVIDhub-baseline,inc hosp,1,Overall,1,1,1,0.62,0.98,-0.03,122,19,NA
All,epiforecasts-EpiNow2,inc hosp,1,Overall,0.8,0.87,0.88,0.56,0.92,0,52,17,NA
All,epiforecasts-tsensemble,inc hosp,1,Overall,1.09,1.01,1,0.47,0.83,-0,94,19,NA
All,epiforecasts-weeklygrowth,inc hosp,1,Overall,0.77,0.75,0.75,0.75,1,0.03,51,17,NA
All,EuroCOVIDhub-baseline,inc hosp,1,EE,1,1,1,0.5,1,-0.04,8,1,Estonia
All,epiforecasts-EpiNow2,inc hosp,1,EE,1.17,1.18,1.23,0.25,1,-0.12,4,1,Estonia
All,epiforecasts-tsensemble,inc hosp,1,EE,0.96,1.12,1.04,0.43,0.86,-0.07,7,1,Estonia
All,epiforecasts-weeklygrowth,inc hosp,1,EE,1.32,1.32,1.37,0.25,1,-0.22,4,1,Estonia
All,EuroCOVIDhub-baseline,inc hosp,1,GR,1,1,1,1,1,0.08,8,1,Greece
All,epiforecasts-EpiNow2,inc hosp,1,GR,1.97,0.66,0.6,0.75,1,-0.27,4,1,Greece
All,epiforecasts-tsensemble,inc hosp,1,GR,1.5,0.51,0.62,0.71,1,0.3,7,1,Greece
All,epiforecasts-weeklygrowth,inc hosp,1,GR,1.01,0.51,0.46,1,1,-0.17,4,1,Greece
All,EuroCOVIDhub-baseline,inc hosp,1,HU,1,1,1,0.6,1,-0.02,5,1,Hungary
All,epiforecasts-EpiNow2,inc hosp,1,HU,1.53,1.67,1.55,0.75,1,0.35,4,1,Hungary
All,epiforecasts-tsensemble,inc hosp,1,HU,0.69,0.96,1.1,0.6,0.8,-0.28,5,1,Hungary
All,epiforecasts-weeklygrowth,inc hosp,1,HU,2.03,2.33,2.17,1,1,-0.2,4,1,Hungary
All,EuroCOVIDhub-baseline,inc hosp,1,IE,1,1,1,0.62,1,-0.35,8,1,Ireland
All,epiforecasts-EpiNow2,inc hosp,1,IE,1.41,1.4,1.39,0.25,0.5,-0.68,4,1,Ireland
All,epiforecasts-tsensemble,inc hosp,1,IE,1.09,1.16,1.17,0.29,0.43,-0.73,7,1,Ireland
All,epiforecasts-weeklygrowth,inc hosp,1,IE,1.02,1.27,1.27,0.75,1,-0.22,4,1,Ireland
All,EuroCOVIDhub-baseline,inc hosp,1,LV,1,1,1,0.38,1,-0.15,8,1,Latvia
All,epiforecasts-EpiNow2,inc hosp,1,LV,0.72,0.66,0.66,0,1,-0.02,4,1,Latvia
All,epiforecasts-tsensemble,inc hosp,1,LV,0.92,1,1.01,0,0.71,-0.36,7,1,Latvia
All,epiforecasts-weeklygrowth,inc hosp,1,LV,0.4,0.48,0.48,0.75,1,-0.07,4,1,Latvia
All,EuroCOVIDhub-baseline,inc hosp,1,MT,1,1,1,0.62,1,0.12,8,1,Malta
All,epiforecasts-EpiNow2,inc hosp,1,MT,0.81,1,1,0.75,1,0.3,4,1,Malta
All,epiforecasts-tsensemble,inc hosp,1,MT,1.07,1,1,0.57,1,0.14,7,1,Malta
All,epiforecasts-weeklygrowth,inc hosp,1,MT,0.96,1.54,1.54,1,1,-0.15,4,1,Malta
All,EuroCOVIDhub-baseline,inc hosp,1,SK,1,1,1,0.62,1,0.06,8,1,Slovakia
All,epiforecasts-EpiNow2,inc hosp,1,SK,0.66,0.64,0.65,0.75,1,0.38,4,1,Slovakia
All,epiforecasts-tsensemble,inc hosp,1,SK,1.13,1.09,1.08,0.29,0.71,0.14,7,1,Slovakia
All,epiforecasts-weeklygrowth,inc hosp,1,SK,0.94,1.18,1.19,0.5,1,0.42,4,1,Slovakia
