weeks_included,model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
10,BIOCOMSC-Gompertz,inc case,2,Overall,1.04,NA,0.46,0.93,NA,261,32,NA
10,EuroCOVIDhub-baseline,inc case,2,Overall,1,1,0.54,0.91,-0.18,317,32,NA
10,EuroCOVIDhub-ensemble,inc case,2,Overall,1.12,1.15,0.39,0.83,-0.2,317,32,NA
10,IEM_Health-CovidProject,inc case,2,Overall,1.07,1.19,0.26,0.63,-0.2,307,31,NA
10,ILM-EKF,inc case,2,Overall,1.98,2.31,0.3,0.67,-0.24,317,32,NA
10,Karlen-pypm,inc case,2,Overall,3.55,3.08,0.33,0.74,0.17,139,29,NA
10,LANL-GrowthRate,inc case,2,Overall,1.09,1.11,0.36,0.77,-0.38,317,32,NA
10,MUNI-ARIMA,inc case,2,Overall,0.89,0.96,0.57,0.9,-0.23,317,32,NA
10,RobertWalraven-ESG,inc case,2,Overall,1.05,1.25,0.28,0.56,-0.41,317,32,NA
10,USC-SIkJalpha,inc case,2,Overall,1.25,1.49,0.2,0.26,-0.31,317,32,NA
10,UVA-Ensemble,inc case,2,Overall,1.66,NA,0.5,0.84,NA,317,32,NA
10,epiforecasts-EpiNow2,inc case,2,Overall,1.88,2.04,0.35,0.74,-0.19,317,32,NA
10,EuroCOVIDhub-baseline,inc case,4,Overall,1,1,0.51,0.87,-0.13,314,32,NA
10,EuroCOVIDhub-ensemble,inc case,4,Overall,1.45,1.66,0.33,0.73,-0.15,314,32,NA
10,IEM_Health-CovidProject,inc case,4,Overall,1.22,1.51,0.25,0.51,-0.26,306,32,NA
10,ILM-EKF,inc case,4,Overall,4.8,6.19,0.24,0.6,-0.31,312,32,NA
10,Karlen-pypm,inc case,4,Overall,6.8,6.14,0.23,0.57,0.37,83,29,NA
10,LANL-GrowthRate,inc case,4,Overall,1.09,1.19,0.27,0.61,-0.36,283,32,NA
10,MUNI-ARIMA,inc case,4,Overall,1.09,1.14,0.51,0.88,-0.26,314,32,NA
10,RobertWalraven-ESG,inc case,4,Overall,0.95,1.24,0.28,0.51,-0.41,314,32,NA
10,USC-SIkJalpha,inc case,4,Overall,1.23,1.72,0.2,0.23,-0.4,314,32,NA
10,UVA-Ensemble,inc case,4,Overall,1.2,NA,0.3,0.56,NA,314,32,NA
10,epiforecasts-EpiNow2,inc case,4,Overall,1.88,2.09,0.25,0.59,-0.31,313,32,NA
10,EuroCOVIDhub-baseline,inc case,3,Overall,1,1,0.53,0.89,-0.14,316,32,NA
10,EuroCOVIDhub-ensemble,inc case,3,Overall,1.29,1.4,0.33,0.78,-0.17,316,32,NA
10,IEM_Health-CovidProject,inc case,3,Overall,1.18,1.39,0.26,0.6,-0.25,307,32,NA
10,ILM-EKF,inc case,3,Overall,2.75,3.42,0.26,0.64,-0.27,315,32,NA
10,Karlen-pypm,inc case,3,Overall,5.25,4.77,0.26,0.64,0.28,111,29,NA
