forecast_date,target,target_end_date,location,type,quantile,value
2024-01-29,1 wk ahead inc case,2024-02-03,BE,point,NA,1554
2024-01-29,2 wk ahead inc case,2024-02-10,BE,point,NA,1512
2024-01-29,3 wk ahead inc case,2024-02-17,BE,point,NA,1469
2024-01-29,4 wk ahead inc case,2024-02-24,BE,point,NA,1427
2024-01-29,1 wk ahead inc case,2024-02-03,BE,quantile,0.01,890
2024-01-29,1 wk ahead inc case,2024-02-03,BE,quantile,0.025,1026
2024-01-29,1 wk ahead inc case,2024-02-03,BE,quantile,0.05,1154
2024-01-29,1 wk ahead inc case,2024-02-03,BE,quantile,0.1,1316
2024-01-29,1 wk ahead inc case,2024-02-03,BE,quantile,0.15,1406
2024-01-29,1 wk ahead inc case,2024-02-03,BE,quantile,0.2,1484
2024-01-29,1 wk ahead inc case,2024-02-03,BE,quantile,0.25,1530
2024-01-29,1 wk ahead inc case,2024-02-03,BE,quantile,0.3,1556
2024-01-29,1 wk ahead inc case,2024-02-03,BE,quantile,0.35,1624
2024-01-29,1 wk ahead inc case,2024-02-03,BE,quantile,0.4,1692
2024-01-29,1 wk ahead inc case,2024-02-03,BE,quantile,0.45,1759
2024-01-29,1 wk ahead inc case,2024-02-03,BE,quantile,0.5,1832
2024-01-29,1 wk ahead inc case,2024-02-03,BE,quantile,0.55,1895
2024-01-29,1 wk ahead inc case,2024-02-03,BE,quantile,0.6,1946
2024-01-29,1 wk ahead inc case,2024-02-03,BE,quantile,0.65,2028
2024-01-29,1 wk ahead inc case,2024-02-03,BE,quantile,0.7,2117
2024-01-29,1 wk ahead inc case,2024-02-03,BE,quantile,0.75,2223
2024-01-29,1 wk ahead inc case,2024-02-03,BE,quantile,0.8,2362
2024-01-29,1 wk ahead inc case,2024-02-03,BE,quantile,0.85,2495
2024-01-29,1 wk ahead inc case,2024-02-03,BE,quantile,0.9,2676
2024-01-29,1 wk ahead inc case,2024-02-03,BE,quantile,0.95,3086
2024-01-29,1 wk ahead inc case,2024-02-03,BE,quantile,0.975,3501
2024-01-29,1 wk ahead inc case,2024-02-03,BE,quantile,0.99,4078
2024-01-29,2 wk ahead inc case,2024-02-10,BE,quantile,0.01,716
2024-01-29,2 wk ahead inc case,2024-02-10,BE,quantile,0.025,833
2024-01-29,2 wk ahead inc case,2024-02-10,BE,quantile,0.05,1007
2024-01-29,2 wk ahead inc case,2024-02-10,BE,quantile,0.1,1175
2024-01-29,2 wk ahead inc case,2024-02-10,BE,quantile,0.15,1311
2024-01-29,2 wk ahead inc case,2024-02-10,BE,quantile,0.2,1414
2024-01-29,2 wk ahead inc case,2024-02-10,BE,quantile,0.25,1482
2024-01-29,2 wk ahead inc case,2024-02-10,BE,quantile,0.3,1514
2024-01-29,2 wk ahead inc case,2024-02-10,BE,quantile,0.35,1603
2024-01-29,2 wk ahead inc case,2024-02-10,BE,quantile,0.4,1693
2024-01-29,2 wk ahead inc case,2024-02-10,BE,quantile,0.45,1787
2024-01-29,2 wk ahead inc case,2024-02-10,BE,quantile,0.5,1882
2024-01-29,2 wk ahead inc case,2024-02-10,BE,quantile,0.55,1980
2024-01-29,2 wk ahead inc case,2024-02-10,BE,quantile,0.6,2060
2024-01-29,2 wk ahead inc case,2024-02-10,BE,quantile,0.65,2160
2024-01-29,2 wk ahead inc case,2024-02-10,BE,quantile,0.7,2299
2024-01-29,2 wk ahead inc case,2024-02-10,BE,quantile,0.75,2462
2024-01-29,2 wk ahead inc case,2024-02-10,BE,quantile,0.8,2698
2024-01-29,2 wk ahead inc case,2024-02-10,BE,quantile,0.85,2886
2024-01-29,2 wk ahead inc case,2024-02-10,BE,quantile,0.9,3164
2024-01-29,2 wk ahead inc case,2024-02-10,BE,quantile,0.95,3900
2024-01-29,2 wk ahead inc case,2024-02-10,BE,quantile,0.975,4571
2024-01-29,2 wk ahead inc case,2024-02-10,BE,quantile,0.99,5636
2024-01-29,3 wk ahead inc case,2024-02-17,BE,quantile,0.01,549
2024-01-29,3 wk ahead inc case,2024-02-17,BE,quantile,0.025,689
2024-01-29,3 wk ahead inc case,2024-02-17,BE,quantile,0.05,869
2024-01-29,3 wk ahead inc case,2024-02-17,BE,quantile,0.1,1057
2024-01-29,3 wk ahead inc case,2024-02-17,BE,quantile,0.15,1231
2024-01-29,3 wk ahead inc case,2024-02-17,BE,quantile,0.2,1340
2024-01-29,3 wk ahead inc case,2024-02-17,BE,quantile,0.25,1435
2024-01-29,3 wk ahead inc case,2024-02-17,BE,quantile,0.3,1478
2024-01-29,3 wk ahead inc case,2024-02-17,BE,quantile,0.35,1580
2024-01-29,3 wk ahead inc case,2024-02-17,BE,quantile,0.4,1701
2024-01-29,3 wk ahead inc case,2024-02-17,BE,quantile,0.45,1814
2024-01-29,3 wk ahead inc case,2024-02-17,BE,quantile,0.5,1928
2024-01-29,3 wk ahead inc case,2024-02-17,BE,quantile,0.55,2067
2024-01-29,3 wk ahead inc case,2024-02-17,BE,quantile,0.6,2176
2024-01-29,3 wk ahead inc case,2024-02-17,BE,quantile,0.65,2308
2024-01-29,3 wk ahead inc case,2024-02-17,BE,quantile,0.7,2504
2024-01-29,3 wk ahead inc case,2024-02-17,BE,quantile,0.75,2713
2024-01-29,3 wk ahead inc case,2024-02-17,BE,quantile,0.8,3074
2024-01-29,3 wk ahead inc case,2024-02-17,BE,quantile,0.85,3315
2024-01-29,3 wk ahead inc case,2024-02-17,BE,quantile,0.9,3795
2024-01-29,3 wk ahead inc case,2024-02-17,BE,quantile,0.95,4913
2024-01-29,3 wk ahead inc case,2024-02-17,BE,quantile,0.975,5976
2024-01-29,3 wk ahead inc case,2024-02-17,BE,quantile,0.99,7524
2024-01-29,4 wk ahead inc case,2024-02-24,BE,quantile,0.01,421
2024-01-29,4 wk ahead inc case,2024-02-24,BE,quantile,0.025,564
2024-01-29,4 wk ahead inc case,2024-02-24,BE,quantile,0.05,764
2024-01-29,4 wk ahead inc case,2024-02-24,BE,quantile,0.1,948
2024-01-29,4 wk ahead inc case,2024-02-24,BE,quantile,0.15,1159
2024-01-29,4 wk ahead inc case,2024-02-24,BE,quantile,0.2,1267
2024-01-29,4 wk ahead inc case,2024-02-24,BE,quantile,0.25,1388
2024-01-29,4 wk ahead inc case,2024-02-24,BE,quantile,0.3,1448
2024-01-29,4 wk ahead inc case,2024-02-24,BE,quantile,0.35,1561
2024-01-29,4 wk ahead inc case,2024-02-24,BE,quantile,0.4,1693
2024-01-29,4 wk ahead inc case,2024-02-24,BE,quantile,0.45,1846
2024-01-29,4 wk ahead inc case,2024-02-24,BE,quantile,0.5,1985
2024-01-29,4 wk ahead inc case,2024-02-24,BE,quantile,0.55,2158
2024-01-29,4 wk ahead inc case,2024-02-24,BE,quantile,0.6,2297
2024-01-29,4 wk ahead inc case,2024-02-24,BE,quantile,0.65,2463
2024-01-29,4 wk ahead inc case,2024-02-24,BE,quantile,0.7,2707
2024-01-29,4 wk ahead inc case,2024-02-24,BE,quantile,0.75,2988
2024-01-29,4 wk ahead inc case,2024-02-24,BE,quantile,0.8,3501
2024-01-29,4 wk ahead inc case,2024-02-24,BE,quantile,0.85,3841
2024-01-29,4 wk ahead inc case,2024-02-24,BE,quantile,0.9,4523
2024-01-29,4 wk ahead inc case,2024-02-24,BE,quantile,0.95,6257
2024-01-29,4 wk ahead inc case,2024-02-24,BE,quantile,0.975,7879
2024-01-29,4 wk ahead inc case,2024-02-24,BE,quantile,0.99,10394
2024-01-29,1 wk ahead inc case,2024-02-03,BG,point,NA,1004
2024-01-29,2 wk ahead inc case,2024-02-10,BG,point,NA,1023
2024-01-29,3 wk ahead inc case,2024-02-17,BG,point,NA,1029
2024-01-29,4 wk ahead inc case,2024-02-24,BG,point,NA,1010
2024-01-29,1 wk ahead inc case,2024-02-03,BG,quantile,0.01,560
2024-01-29,1 wk ahead inc case,2024-02-03,BG,quantile,0.025,634
2024-01-29,1 wk ahead inc case,2024-02-03,BG,quantile,0.05,683
2024-01-29,1 wk ahead inc case,2024-02-03,BG,quantile,0.1,782
2024-01-29,1 wk ahead inc case,2024-02-03,BG,quantile,0.15,846
2024-01-29,1 wk ahead inc case,2024-02-03,BG,quantile,0.2,888
2024-01-29,1 wk ahead inc case,2024-02-03,BG,quantile,0.25,921
2024-01-29,1 wk ahead inc case,2024-02-03,BG,quantile,0.3,967
2024-01-29,1 wk ahead inc case,2024-02-03,BG,quantile,0.35,998
2024-01-29,1 wk ahead inc case,2024-02-03,BG,quantile,0.4,1032
2024-01-29,1 wk ahead inc case,2024-02-03,BG,quantile,0.45,1067
2024-01-29,1 wk ahead inc case,2024-02-03,BG,quantile,0.5,1103
2024-01-29,1 wk ahead inc case,2024-02-03,BG,quantile,0.55,1165
2024-01-29,1 wk ahead inc case,2024-02-03,BG,quantile,0.6,1212
2024-01-29,1 wk ahead inc case,2024-02-03,BG,quantile,0.65,1259
2024-01-29,1 wk ahead inc case,2024-02-03,BG,quantile,0.7,1350
2024-01-29,1 wk ahead inc case,2024-02-03,BG,quantile,0.75,1411
2024-01-29,1 wk ahead inc case,2024-02-03,BG,quantile,0.8,1434
2024-01-29,1 wk ahead inc case,2024-02-03,BG,quantile,0.85,1442
2024-01-29,1 wk ahead inc case,2024-02-03,BG,quantile,0.9,1539
2024-01-29,1 wk ahead inc case,2024-02-03,BG,quantile,0.95,1652
2024-01-29,1 wk ahead inc case,2024-02-03,BG,quantile,0.975,1873
2024-01-29,1 wk ahead inc case,2024-02-03,BG,quantile,0.99,2073
2024-01-29,2 wk ahead inc case,2024-02-10,BG,quantile,0.01,464
2024-01-29,2 wk ahead inc case,2024-02-10,BG,quantile,0.025,533
2024-01-29,2 wk ahead inc case,2024-02-10,BG,quantile,0.05,607
2024-01-29,2 wk ahead inc case,2024-02-10,BG,quantile,0.1,725
2024-01-29,2 wk ahead inc case,2024-02-10,BG,quantile,0.15,811
2024-01-29,2 wk ahead inc case,2024-02-10,BG,quantile,0.2,867
2024-01-29,2 wk ahead inc case,2024-02-10,BG,quantile,0.25,910
2024-01-29,2 wk ahead inc case,2024-02-10,BG,quantile,0.3,967
2024-01-29,2 wk ahead inc case,2024-02-10,BG,quantile,0.35,1012
2024-01-29,2 wk ahead inc case,2024-02-10,BG,quantile,0.4,1065
2024-01-29,2 wk ahead inc case,2024-02-10,BG,quantile,0.45,1109
2024-01-29,2 wk ahead inc case,2024-02-10,BG,quantile,0.5,1163
2024-01-29,2 wk ahead inc case,2024-02-10,BG,quantile,0.55,1240
2024-01-29,2 wk ahead inc case,2024-02-10,BG,quantile,0.6,1327
2024-01-29,2 wk ahead inc case,2024-02-10,BG,quantile,0.65,1394
2024-01-29,2 wk ahead inc case,2024-02-10,BG,quantile,0.7,1539
2024-01-29,2 wk ahead inc case,2024-02-10,BG,quantile,0.75,1665
2024-01-29,2 wk ahead inc case,2024-02-10,BG,quantile,0.8,1714
2024-01-29,2 wk ahead inc case,2024-02-10,BG,quantile,0.85,1731
2024-01-29,2 wk ahead inc case,2024-02-10,BG,quantile,0.9,1857
2024-01-29,2 wk ahead inc case,2024-02-10,BG,quantile,0.95,2046
2024-01-29,2 wk ahead inc case,2024-02-10,BG,quantile,0.975,2435
2024-01-29,2 wk ahead inc case,2024-02-10,BG,quantile,0.99,2820
2024-01-29,3 wk ahead inc case,2024-02-17,BG,quantile,0.01,378
2024-01-29,3 wk ahead inc case,2024-02-17,BG,quantile,0.025,456
2024-01-29,3 wk ahead inc case,2024-02-17,BG,quantile,0.05,532
2024-01-29,3 wk ahead inc case,2024-02-17,BG,quantile,0.1,678
2024-01-29,3 wk ahead inc case,2024-02-17,BG,quantile,0.15,775
2024-01-29,3 wk ahead inc case,2024-02-17,BG,quantile,0.2,843
2024-01-29,3 wk ahead inc case,2024-02-17,BG,quantile,0.25,903
2024-01-29,3 wk ahead inc case,2024-02-17,BG,quantile,0.3,969
2024-01-29,3 wk ahead inc case,2024-02-17,BG,quantile,0.35,1032
2024-01-29,3 wk ahead inc case,2024-02-17,BG,quantile,0.4,1098
2024-01-29,3 wk ahead inc case,2024-02-17,BG,quantile,0.45,1147
2024-01-29,3 wk ahead inc case,2024-02-17,BG,quantile,0.5,1228
2024-01-29,3 wk ahead inc case,2024-02-17,BG,quantile,0.55,1324
2024-01-29,3 wk ahead inc case,2024-02-17,BG,quantile,0.6,1453
2024-01-29,3 wk ahead inc case,2024-02-17,BG,quantile,0.65,1554
2024-01-29,3 wk ahead inc case,2024-02-17,BG,quantile,0.7,1743
2024-01-29,3 wk ahead inc case,2024-02-17,BG,quantile,0.75,1977
2024-01-29,3 wk ahead inc case,2024-02-17,BG,quantile,0.8,2046
2024-01-29,3 wk ahead inc case,2024-02-17,BG,quantile,0.85,2079
2024-01-29,3 wk ahead inc case,2024-02-17,BG,quantile,0.9,2221
2024-01-29,3 wk ahead inc case,2024-02-17,BG,quantile,0.95,2533
2024-01-29,3 wk ahead inc case,2024-02-17,BG,quantile,0.975,3131
2024-01-29,3 wk ahead inc case,2024-02-17,BG,quantile,0.99,3837
2024-01-29,4 wk ahead inc case,2024-02-24,BG,quantile,0.01,308
2024-01-29,4 wk ahead inc case,2024-02-24,BG,quantile,0.025,389
2024-01-29,4 wk ahead inc case,2024-02-24,BG,quantile,0.05,467
2024-01-29,4 wk ahead inc case,2024-02-24,BG,quantile,0.1,631
2024-01-29,4 wk ahead inc case,2024-02-24,BG,quantile,0.15,743
2024-01-29,4 wk ahead inc case,2024-02-24,BG,quantile,0.2,820
2024-01-29,4 wk ahead inc case,2024-02-24,BG,quantile,0.25,893
2024-01-29,4 wk ahead inc case,2024-02-24,BG,quantile,0.3,972
2024-01-29,4 wk ahead inc case,2024-02-24,BG,quantile,0.35,1053
2024-01-29,4 wk ahead inc case,2024-02-24,BG,quantile,0.4,1132
2024-01-29,4 wk ahead inc case,2024-02-24,BG,quantile,0.45,1192
2024-01-29,4 wk ahead inc case,2024-02-24,BG,quantile,0.5,1305
2024-01-29,4 wk ahead inc case,2024-02-24,BG,quantile,0.55,1413
2024-01-29,4 wk ahead inc case,2024-02-24,BG,quantile,0.6,1581
2024-01-29,4 wk ahead inc case,2024-02-24,BG,quantile,0.65,1721
2024-01-29,4 wk ahead inc case,2024-02-24,BG,quantile,0.7,1977
2024-01-29,4 wk ahead inc case,2024-02-24,BG,quantile,0.75,2335
2024-01-29,4 wk ahead inc case,2024-02-24,BG,quantile,0.8,2445
2024-01-29,4 wk ahead inc case,2024-02-24,BG,quantile,0.85,2496
2024-01-29,4 wk ahead inc case,2024-02-24,BG,quantile,0.9,2675
2024-01-29,4 wk ahead inc case,2024-02-24,BG,quantile,0.95,3153
2024-01-29,4 wk ahead inc case,2024-02-24,BG,quantile,0.975,4111
2024-01-29,4 wk ahead inc case,2024-02-24,BG,quantile,0.99,5223
2024-01-29,1 wk ahead inc case,2024-02-03,CZ,point,NA,1463
2024-01-29,2 wk ahead inc case,2024-02-10,CZ,point,NA,1267
2024-01-29,3 wk ahead inc case,2024-02-17,CZ,point,NA,1099
2024-01-29,4 wk ahead inc case,2024-02-24,CZ,point,NA,948
2024-01-29,1 wk ahead inc case,2024-02-03,CZ,quantile,0.01,751
2024-01-29,1 wk ahead inc case,2024-02-03,CZ,quantile,0.025,895
2024-01-29,1 wk ahead inc case,2024-02-03,CZ,quantile,0.05,1000
2024-01-29,1 wk ahead inc case,2024-02-03,CZ,quantile,0.1,1123
2024-01-29,1 wk ahead inc case,2024-02-03,CZ,quantile,0.15,1206
2024-01-29,1 wk ahead inc case,2024-02-03,CZ,quantile,0.2,1266
2024-01-29,1 wk ahead inc case,2024-02-03,CZ,quantile,0.25,1326
2024-01-29,1 wk ahead inc case,2024-02-03,CZ,quantile,0.3,1387
2024-01-29,1 wk ahead inc case,2024-02-03,CZ,quantile,0.35,1433
2024-01-29,1 wk ahead inc case,2024-02-03,CZ,quantile,0.4,1480
2024-01-29,1 wk ahead inc case,2024-02-03,CZ,quantile,0.45,1526
2024-01-29,1 wk ahead inc case,2024-02-03,CZ,quantile,0.5,1582
2024-01-29,1 wk ahead inc case,2024-02-03,CZ,quantile,0.55,1639
2024-01-29,1 wk ahead inc case,2024-02-03,CZ,quantile,0.6,1707
2024-01-29,1 wk ahead inc case,2024-02-03,CZ,quantile,0.65,1780
2024-01-29,1 wk ahead inc case,2024-02-03,CZ,quantile,0.7,1848
2024-01-29,1 wk ahead inc case,2024-02-03,CZ,quantile,0.75,1955
2024-01-29,1 wk ahead inc case,2024-02-03,CZ,quantile,0.8,2057
2024-01-29,1 wk ahead inc case,2024-02-03,CZ,quantile,0.85,2201
2024-01-29,1 wk ahead inc case,2024-02-03,CZ,quantile,0.9,2411
2024-01-29,1 wk ahead inc case,2024-02-03,CZ,quantile,0.95,2656
2024-01-29,1 wk ahead inc case,2024-02-03,CZ,quantile,0.975,3095
2024-01-29,1 wk ahead inc case,2024-02-03,CZ,quantile,0.99,3463
2024-01-29,2 wk ahead inc case,2024-02-10,CZ,quantile,0.01,524
2024-01-29,2 wk ahead inc case,2024-02-10,CZ,quantile,0.025,649
2024-01-29,2 wk ahead inc case,2024-02-10,CZ,quantile,0.05,773
2024-01-29,2 wk ahead inc case,2024-02-10,CZ,quantile,0.1,917
2024-01-29,2 wk ahead inc case,2024-02-10,CZ,quantile,0.15,1018
2024-01-29,2 wk ahead inc case,2024-02-10,CZ,quantile,0.2,1092
2024-01-29,2 wk ahead inc case,2024-02-10,CZ,quantile,0.25,1156
2024-01-29,2 wk ahead inc case,2024-02-10,CZ,quantile,0.3,1219
2024-01-29,2 wk ahead inc case,2024-02-10,CZ,quantile,0.35,1281
2024-01-29,2 wk ahead inc case,2024-02-10,CZ,quantile,0.4,1329
2024-01-29,2 wk ahead inc case,2024-02-10,CZ,quantile,0.45,1393
2024-01-29,2 wk ahead inc case,2024-02-10,CZ,quantile,0.5,1458
2024-01-29,2 wk ahead inc case,2024-02-10,CZ,quantile,0.55,1537
2024-01-29,2 wk ahead inc case,2024-02-10,CZ,quantile,0.6,1639
2024-01-29,2 wk ahead inc case,2024-02-10,CZ,quantile,0.65,1733
2024-01-29,2 wk ahead inc case,2024-02-10,CZ,quantile,0.7,1841
2024-01-29,2 wk ahead inc case,2024-02-10,CZ,quantile,0.75,1967
2024-01-29,2 wk ahead inc case,2024-02-10,CZ,quantile,0.8,2115
2024-01-29,2 wk ahead inc case,2024-02-10,CZ,quantile,0.85,2297
2024-01-29,2 wk ahead inc case,2024-02-10,CZ,quantile,0.9,2655
2024-01-29,2 wk ahead inc case,2024-02-10,CZ,quantile,0.95,2989
2024-01-29,2 wk ahead inc case,2024-02-10,CZ,quantile,0.975,3732
2024-01-29,2 wk ahead inc case,2024-02-10,CZ,quantile,0.99,4312
2024-01-29,3 wk ahead inc case,2024-02-17,CZ,quantile,0.01,374
2024-01-29,3 wk ahead inc case,2024-02-17,CZ,quantile,0.025,463
2024-01-29,3 wk ahead inc case,2024-02-17,CZ,quantile,0.05,608
2024-01-29,3 wk ahead inc case,2024-02-17,CZ,quantile,0.1,754
2024-01-29,3 wk ahead inc case,2024-02-17,CZ,quantile,0.15,863
2024-01-29,3 wk ahead inc case,2024-02-17,CZ,quantile,0.2,944
2024-01-29,3 wk ahead inc case,2024-02-17,CZ,quantile,0.25,1004
2024-01-29,3 wk ahead inc case,2024-02-17,CZ,quantile,0.3,1071
2024-01-29,3 wk ahead inc case,2024-02-17,CZ,quantile,0.35,1140
2024-01-29,3 wk ahead inc case,2024-02-17,CZ,quantile,0.4,1198
2024-01-29,3 wk ahead inc case,2024-02-17,CZ,quantile,0.45,1276
2024-01-29,3 wk ahead inc case,2024-02-17,CZ,quantile,0.5,1349
2024-01-29,3 wk ahead inc case,2024-02-17,CZ,quantile,0.55,1460
2024-01-29,3 wk ahead inc case,2024-02-17,CZ,quantile,0.6,1567
2024-01-29,3 wk ahead inc case,2024-02-17,CZ,quantile,0.65,1688
2024-01-29,3 wk ahead inc case,2024-02-17,CZ,quantile,0.7,1847
2024-01-29,3 wk ahead inc case,2024-02-17,CZ,quantile,0.75,2002
2024-01-29,3 wk ahead inc case,2024-02-17,CZ,quantile,0.8,2175
2024-01-29,3 wk ahead inc case,2024-02-17,CZ,quantile,0.85,2427
2024-01-29,3 wk ahead inc case,2024-02-17,CZ,quantile,0.9,2890
2024-01-29,3 wk ahead inc case,2024-02-17,CZ,quantile,0.95,3409
2024-01-29,3 wk ahead inc case,2024-02-17,CZ,quantile,0.975,4542
2024-01-29,3 wk ahead inc case,2024-02-17,CZ,quantile,0.99,5454
2024-01-29,4 wk ahead inc case,2024-02-24,CZ,quantile,0.01,263
2024-01-29,4 wk ahead inc case,2024-02-24,CZ,quantile,0.025,339
2024-01-29,4 wk ahead inc case,2024-02-24,CZ,quantile,0.05,473
2024-01-29,4 wk ahead inc case,2024-02-24,CZ,quantile,0.1,619
2024-01-29,4 wk ahead inc case,2024-02-24,CZ,quantile,0.15,735
2024-01-29,4 wk ahead inc case,2024-02-24,CZ,quantile,0.2,811
2024-01-29,4 wk ahead inc case,2024-02-24,CZ,quantile,0.25,872
2024-01-29,4 wk ahead inc case,2024-02-24,CZ,quantile,0.3,939
2024-01-29,4 wk ahead inc case,2024-02-24,CZ,quantile,0.35,1016
2024-01-29,4 wk ahead inc case,2024-02-24,CZ,quantile,0.4,1084
2024-01-29,4 wk ahead inc case,2024-02-24,CZ,quantile,0.45,1166
2024-01-29,4 wk ahead inc case,2024-02-24,CZ,quantile,0.5,1251
2024-01-29,4 wk ahead inc case,2024-02-24,CZ,quantile,0.55,1381
2024-01-29,4 wk ahead inc case,2024-02-24,CZ,quantile,0.6,1495
2024-01-29,4 wk ahead inc case,2024-02-24,CZ,quantile,0.65,1652
2024-01-29,4 wk ahead inc case,2024-02-24,CZ,quantile,0.7,1832
2024-01-29,4 wk ahead inc case,2024-02-24,CZ,quantile,0.75,2028
2024-01-29,4 wk ahead inc case,2024-02-24,CZ,quantile,0.8,2244
2024-01-29,4 wk ahead inc case,2024-02-24,CZ,quantile,0.85,2551
2024-01-29,4 wk ahead inc case,2024-02-24,CZ,quantile,0.9,3138
2024-01-29,4 wk ahead inc case,2024-02-24,CZ,quantile,0.95,3959
2024-01-29,4 wk ahead inc case,2024-02-24,CZ,quantile,0.975,5525
2024-01-29,4 wk ahead inc case,2024-02-24,CZ,quantile,0.99,7006
2024-01-29,1 wk ahead inc case,2024-02-03,EE,point,NA,187
2024-01-29,2 wk ahead inc case,2024-02-10,EE,point,NA,151
2024-01-29,3 wk ahead inc case,2024-02-17,EE,point,NA,117
2024-01-29,4 wk ahead inc case,2024-02-24,EE,point,NA,88
2024-01-29,1 wk ahead inc case,2024-02-03,EE,quantile,0.01,93
2024-01-29,1 wk ahead inc case,2024-02-03,EE,quantile,0.025,106
2024-01-29,1 wk ahead inc case,2024-02-03,EE,quantile,0.05,121
2024-01-29,1 wk ahead inc case,2024-02-03,EE,quantile,0.1,137
2024-01-29,1 wk ahead inc case,2024-02-03,EE,quantile,0.15,147
2024-01-29,1 wk ahead inc case,2024-02-03,EE,quantile,0.2,154
2024-01-29,1 wk ahead inc case,2024-02-03,EE,quantile,0.25,161
2024-01-29,1 wk ahead inc case,2024-02-03,EE,quantile,0.3,170
2024-01-29,1 wk ahead inc case,2024-02-03,EE,quantile,0.35,176
2024-01-29,1 wk ahead inc case,2024-02-03,EE,quantile,0.4,183
2024-01-29,1 wk ahead inc case,2024-02-03,EE,quantile,0.45,190
2024-01-29,1 wk ahead inc case,2024-02-03,EE,quantile,0.5,197
2024-01-29,1 wk ahead inc case,2024-02-03,EE,quantile,0.55,203
2024-01-29,1 wk ahead inc case,2024-02-03,EE,quantile,0.6,212
2024-01-29,1 wk ahead inc case,2024-02-03,EE,quantile,0.65,220
2024-01-29,1 wk ahead inc case,2024-02-03,EE,quantile,0.7,230
2024-01-29,1 wk ahead inc case,2024-02-03,EE,quantile,0.75,243
2024-01-29,1 wk ahead inc case,2024-02-03,EE,quantile,0.8,258
2024-01-29,1 wk ahead inc case,2024-02-03,EE,quantile,0.85,276
2024-01-29,1 wk ahead inc case,2024-02-03,EE,quantile,0.9,300
2024-01-29,1 wk ahead inc case,2024-02-03,EE,quantile,0.95,348
2024-01-29,1 wk ahead inc case,2024-02-03,EE,quantile,0.975,390
2024-01-29,1 wk ahead inc case,2024-02-03,EE,quantile,0.99,438
2024-01-29,2 wk ahead inc case,2024-02-10,EE,quantile,0.01,59
2024-01-29,2 wk ahead inc case,2024-02-10,EE,quantile,0.025,73
2024-01-29,2 wk ahead inc case,2024-02-10,EE,quantile,0.05,86
2024-01-29,2 wk ahead inc case,2024-02-10,EE,quantile,0.1,101
2024-01-29,2 wk ahead inc case,2024-02-10,EE,quantile,0.15,112
2024-01-29,2 wk ahead inc case,2024-02-10,EE,quantile,0.2,121
2024-01-29,2 wk ahead inc case,2024-02-10,EE,quantile,0.25,129
2024-01-29,2 wk ahead inc case,2024-02-10,EE,quantile,0.3,137
2024-01-29,2 wk ahead inc case,2024-02-10,EE,quantile,0.35,145
2024-01-29,2 wk ahead inc case,2024-02-10,EE,quantile,0.4,153
2024-01-29,2 wk ahead inc case,2024-02-10,EE,quantile,0.45,160
2024-01-29,2 wk ahead inc case,2024-02-10,EE,quantile,0.5,168
2024-01-29,2 wk ahead inc case,2024-02-10,EE,quantile,0.55,176
2024-01-29,2 wk ahead inc case,2024-02-10,EE,quantile,0.6,185
2024-01-29,2 wk ahead inc case,2024-02-10,EE,quantile,0.65,196
2024-01-29,2 wk ahead inc case,2024-02-10,EE,quantile,0.7,207
2024-01-29,2 wk ahead inc case,2024-02-10,EE,quantile,0.75,225
2024-01-29,2 wk ahead inc case,2024-02-10,EE,quantile,0.8,244
2024-01-29,2 wk ahead inc case,2024-02-10,EE,quantile,0.85,265
2024-01-29,2 wk ahead inc case,2024-02-10,EE,quantile,0.9,300
2024-01-29,2 wk ahead inc case,2024-02-10,EE,quantile,0.95,364
2024-01-29,2 wk ahead inc case,2024-02-10,EE,quantile,0.975,430
2024-01-29,2 wk ahead inc case,2024-02-10,EE,quantile,0.99,508
2024-01-29,3 wk ahead inc case,2024-02-17,EE,quantile,0.01,36
2024-01-29,3 wk ahead inc case,2024-02-17,EE,quantile,0.025,50
2024-01-29,3 wk ahead inc case,2024-02-17,EE,quantile,0.05,61
2024-01-29,3 wk ahead inc case,2024-02-17,EE,quantile,0.1,75
2024-01-29,3 wk ahead inc case,2024-02-17,EE,quantile,0.15,85
2024-01-29,3 wk ahead inc case,2024-02-17,EE,quantile,0.2,95
2024-01-29,3 wk ahead inc case,2024-02-17,EE,quantile,0.25,103
2024-01-29,3 wk ahead inc case,2024-02-17,EE,quantile,0.3,110
2024-01-29,3 wk ahead inc case,2024-02-17,EE,quantile,0.35,119
2024-01-29,3 wk ahead inc case,2024-02-17,EE,quantile,0.4,127
2024-01-29,3 wk ahead inc case,2024-02-17,EE,quantile,0.45,137
2024-01-29,3 wk ahead inc case,2024-02-17,EE,quantile,0.5,144
2024-01-29,3 wk ahead inc case,2024-02-17,EE,quantile,0.55,153
2024-01-29,3 wk ahead inc case,2024-02-17,EE,quantile,0.6,163
2024-01-29,3 wk ahead inc case,2024-02-17,EE,quantile,0.65,174
2024-01-29,3 wk ahead inc case,2024-02-17,EE,quantile,0.7,189
2024-01-29,3 wk ahead inc case,2024-02-17,EE,quantile,0.75,209
2024-01-29,3 wk ahead inc case,2024-02-17,EE,quantile,0.8,230
2024-01-29,3 wk ahead inc case,2024-02-17,EE,quantile,0.85,258
2024-01-29,3 wk ahead inc case,2024-02-17,EE,quantile,0.9,300
2024-01-29,3 wk ahead inc case,2024-02-17,EE,quantile,0.95,384
2024-01-29,3 wk ahead inc case,2024-02-17,EE,quantile,0.975,477
