model,target_variable,location,all_quantiles_all_horizons,all_horizons,not_excluded_manually,rel_wis,included_in_ensemble
epiforecasts-EpiNow2,inc case,BE,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc case,BG,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc case,CY,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc case,CZ,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc case,DE,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc case,DK,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc case,EE,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc case,ES,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc case,FI,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc case,FR,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc case,GR,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc case,HR,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc case,HU,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc case,IE,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc case,IS,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc case,IT,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc case,LI,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc case,LT,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc case,LU,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc case,LV,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc case,MT,TRUE,TRUE,TRUE,TRUE,TRUE
