model,target_variable,location,all_quantiles_all_horizons,all_horizons,not_excluded_manually,rel_wis,included_in_ensemble
epiforecasts-EpiNow2,inc case,NL,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc case,NO,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc case,PL,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc case,PT,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc case,RO,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc case,SE,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc case,SI,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc case,SK,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc hosp,BE,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc hosp,CZ,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc hosp,DE,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc hosp,DK,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc hosp,EE,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc hosp,ES,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc hosp,FR,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc hosp,GR,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc hosp,HU,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc hosp,IE,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc hosp,IS,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc hosp,IT,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc hosp,LU,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc hosp,LV,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc hosp,MT,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc hosp,NL,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc hosp,SI,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,inc hosp,SK,TRUE,TRUE,TRUE,TRUE,TRUE
fjordhest-ensemble,inc case,AT,TRUE,TRUE,TRUE,TRUE,TRUE
fjordhest-ensemble,inc case,BG,TRUE,TRUE,TRUE,TRUE,TRUE
fjordhest-ensemble,inc case,CZ,TRUE,TRUE,TRUE,TRUE,TRUE
fjordhest-ensemble,inc case,DK,TRUE,TRUE,TRUE,TRUE,TRUE
fjordhest-ensemble,inc case,EE,TRUE,TRUE,TRUE,TRUE,TRUE
fjordhest-ensemble,inc case,FI,TRUE,TRUE,TRUE,TRUE,TRUE
fjordhest-ensemble,inc case,FR,TRUE,TRUE,TRUE,TRUE,TRUE
fjordhest-ensemble,inc case,GR,TRUE,TRUE,TRUE,TRUE,TRUE
fjordhest-ensemble,inc case,IE,TRUE,TRUE,TRUE,TRUE,TRUE
fjordhest-ensemble,inc case,IT,TRUE,TRUE,TRUE,TRUE,TRUE
fjordhest-ensemble,inc case,LU,TRUE,TRUE,TRUE,TRUE,TRUE
fjordhest-ensemble,inc case,LV,TRUE,TRUE,TRUE,TRUE,TRUE
fjordhest-ensemble,inc case,MT,TRUE,TRUE,TRUE,TRUE,TRUE
fjordhest-ensemble,inc case,NO,TRUE,TRUE,TRUE,TRUE,TRUE
fjordhest-ensemble,inc case,PL,TRUE,TRUE,TRUE,TRUE,TRUE
fjordhest-ensemble,inc case,PT,TRUE,TRUE,TRUE,TRUE,TRUE
fjordhest-ensemble,inc case,RO,TRUE,TRUE,TRUE,TRUE,TRUE
fjordhest-ensemble,inc case,SE,TRUE,TRUE,TRUE,TRUE,TRUE
fjordhest-ensemble,inc case,SI,TRUE,TRUE,TRUE,TRUE,TRUE
fjordhest-ensemble,inc case,SK,TRUE,TRUE,TRUE,TRUE,TRUE
fjordhest-ensemble,inc death,AT,TRUE,TRUE,TRUE,TRUE,TRUE
fjordhest-ensemble,inc death,BG,TRUE,TRUE,TRUE,TRUE,TRUE
fjordhest-ensemble,inc death,CZ,TRUE,TRUE,TRUE,TRUE,TRUE
fjordhest-ensemble,inc death,DK,TRUE,TRUE,TRUE,TRUE,TRUE
fjordhest-ensemble,inc death,EE,TRUE,TRUE,TRUE,TRUE,TRUE
fjordhest-ensemble,inc death,FI,TRUE,TRUE,TRUE,TRUE,TRUE
fjordhest-ensemble,inc death,FR,TRUE,TRUE,TRUE,TRUE,TRUE
fjordhest-ensemble,inc death,GR,TRUE,TRUE,TRUE,TRUE,TRUE
fjordhest-ensemble,inc death,IE,TRUE,TRUE,TRUE,TRUE,TRUE
fjordhest-ensemble,inc death,IT,TRUE,TRUE,TRUE,TRUE,TRUE
fjordhest-ensemble,inc death,LU,TRUE,TRUE,TRUE,TRUE,TRUE
fjordhest-ensemble,inc death,LV,TRUE,TRUE,TRUE,TRUE,TRUE
fjordhest-ensemble,inc death,MT,TRUE,TRUE,TRUE,TRUE,TRUE
fjordhest-ensemble,inc death,NO,TRUE,TRUE,TRUE,TRUE,TRUE
fjordhest-ensemble,inc death,PL,TRUE,TRUE,TRUE,TRUE,TRUE
fjordhest-ensemble,inc death,PT,TRUE,TRUE,TRUE,TRUE,TRUE
fjordhest-ensemble,inc death,RO,TRUE,TRUE,TRUE,TRUE,TRUE
fjordhest-ensemble,inc death,SE,TRUE,TRUE,TRUE,TRUE,TRUE
fjordhest-ensemble,inc death,SI,TRUE,TRUE,TRUE,TRUE,TRUE
fjordhest-ensemble,inc death,SK,TRUE,TRUE,TRUE,TRUE,TRUE
ICM-agentModel,inc case,PL,TRUE,TRUE,TRUE,TRUE,TRUE
ICM-agentModel,inc death,PL,TRUE,TRUE,TRUE,TRUE,TRUE
PL_GRedlarski-DistrictsSum,inc case,PL,TRUE,TRUE,TRUE,TRUE,TRUE
SGroup-RandomForest,inc case,AT,TRUE,TRUE,TRUE,TRUE,TRUE
SGroup-RandomForest,inc case,BE,TRUE,TRUE,TRUE,TRUE,TRUE
SGroup-RandomForest,inc case,BG,TRUE,TRUE,TRUE,TRUE,TRUE
SGroup-RandomForest,inc case,CH,TRUE,TRUE,TRUE,TRUE,TRUE
SGroup-RandomForest,inc case,CY,TRUE,TRUE,TRUE,TRUE,TRUE
SGroup-RandomForest,inc case,CZ,TRUE,TRUE,TRUE,TRUE,TRUE
SGroup-RandomForest,inc case,DE,TRUE,TRUE,TRUE,TRUE,TRUE
SGroup-RandomForest,inc case,DK,TRUE,TRUE,TRUE,TRUE,TRUE
SGroup-RandomForest,inc case,EE,TRUE,TRUE,TRUE,TRUE,TRUE
SGroup-RandomForest,inc case,ES,TRUE,TRUE,TRUE,TRUE,TRUE
SGroup-RandomForest,inc case,FI,TRUE,TRUE,TRUE,TRUE,TRUE
SGroup-RandomForest,inc case,FR,TRUE,TRUE,TRUE,TRUE,TRUE
SGroup-RandomForest,inc case,GB,TRUE,TRUE,TRUE,TRUE,TRUE
SGroup-RandomForest,inc case,GR,TRUE,TRUE,TRUE,TRUE,TRUE
SGroup-RandomForest,inc case,HR,TRUE,TRUE,TRUE,TRUE,TRUE
SGroup-RandomForest,inc case,HU,TRUE,TRUE,TRUE,TRUE,TRUE
SGroup-RandomForest,inc case,IE,TRUE,TRUE,TRUE,TRUE,TRUE
SGroup-RandomForest,inc case,IS,TRUE,TRUE,TRUE,TRUE,TRUE
SGroup-RandomForest,inc case,IT,TRUE,TRUE,TRUE,TRUE,TRUE
SGroup-RandomForest,inc case,LI,TRUE,TRUE,TRUE,TRUE,TRUE
SGroup-RandomForest,inc case,LT,TRUE,TRUE,TRUE,TRUE,TRUE
SGroup-RandomForest,inc case,LU,TRUE,TRUE,TRUE,TRUE,TRUE
SGroup-RandomForest,inc case,LV,TRUE,TRUE,TRUE,TRUE,TRUE
SGroup-RandomForest,inc case,MT,TRUE,TRUE,TRUE,TRUE,TRUE
SGroup-RandomForest,inc case,NL,TRUE,TRUE,TRUE,TRUE,TRUE
SGroup-RandomForest,inc case,NO,TRUE,TRUE,TRUE,TRUE,TRUE
SGroup-RandomForest,inc case,PL,TRUE,TRUE,TRUE,TRUE,TRUE
SGroup-RandomForest,inc case,PT,TRUE,TRUE,TRUE,TRUE,TRUE
SGroup-RandomForest,inc case,RO,TRUE,TRUE,TRUE,TRUE,TRUE
SGroup-RandomForest,inc case,SE,TRUE,TRUE,TRUE,TRUE,TRUE
SGroup-RandomForest,inc case,SI,TRUE,TRUE,TRUE,TRUE,TRUE
SGroup-RandomForest,inc case,SK,TRUE,TRUE,TRUE,TRUE,TRUE
SGroup-RandomForest,inc death,AT,TRUE,TRUE,TRUE,TRUE,TRUE
SGroup-RandomForest,inc death,BE,TRUE,TRUE,TRUE,TRUE,TRUE
SGroup-RandomForest,inc death,BG,TRUE,TRUE,TRUE,TRUE,TRUE
SGroup-RandomForest,inc death,CH,TRUE,TRUE,TRUE,TRUE,TRUE
SGroup-RandomForest,inc death,CY,TRUE,TRUE,TRUE,TRUE,TRUE
SGroup-RandomForest,inc death,CZ,TRUE,TRUE,TRUE,TRUE,TRUE
SGroup-RandomForest,inc death,DE,TRUE,TRUE,TRUE,TRUE,TRUE
SGroup-RandomForest,inc death,DK,TRUE,TRUE,TRUE,TRUE,TRUE
SGroup-RandomForest,inc death,EE,TRUE,TRUE,TRUE,TRUE,TRUE
SGroup-RandomForest,inc death,ES,TRUE,TRUE,TRUE,TRUE,TRUE
SGroup-RandomForest,inc death,FI,TRUE,TRUE,TRUE,TRUE,TRUE
SGroup-RandomForest,inc death,FR,TRUE,TRUE,TRUE,TRUE,TRUE
SGroup-RandomForest,inc death,GB,TRUE,TRUE,TRUE,TRUE,TRUE
SGroup-RandomForest,inc death,GR,TRUE,TRUE,TRUE,TRUE,TRUE
SGroup-RandomForest,inc death,HR,TRUE,TRUE,TRUE,TRUE,TRUE
SGroup-RandomForest,inc death,HU,TRUE,TRUE,TRUE,TRUE,TRUE
SGroup-RandomForest,inc death,IE,TRUE,TRUE,TRUE,TRUE,TRUE
SGroup-RandomForest,inc death,IS,TRUE,TRUE,TRUE,TRUE,TRUE
SGroup-RandomForest,inc death,IT,TRUE,TRUE,TRUE,TRUE,TRUE
SGroup-RandomForest,inc death,LI,TRUE,TRUE,TRUE,TRUE,TRUE
SGroup-RandomForest,inc death,LT,TRUE,TRUE,TRUE,TRUE,TRUE
SGroup-RandomForest,inc death,LU,TRUE,TRUE,TRUE,TRUE,TRUE
SGroup-RandomForest,inc death,LV,TRUE,TRUE,TRUE,TRUE,TRUE
SGroup-RandomForest,inc death,MT,TRUE,TRUE,TRUE,TRUE,TRUE
SGroup-RandomForest,inc death,NL,TRUE,TRUE,TRUE,TRUE,TRUE
SGroup-RandomForest,inc death,NO,TRUE,TRUE,TRUE,TRUE,TRUE
SGroup-RandomForest,inc death,PL,TRUE,TRUE,TRUE,TRUE,TRUE
SGroup-RandomForest,inc death,PT,TRUE,TRUE,TRUE,TRUE,TRUE
SGroup-RandomForest,inc death,RO,TRUE,TRUE,TRUE,TRUE,TRUE
SGroup-RandomForest,inc death,SE,TRUE,TRUE,TRUE,TRUE,TRUE
SGroup-RandomForest,inc death,SI,TRUE,TRUE,TRUE,TRUE,TRUE
SGroup-RandomForest,inc death,SK,TRUE,TRUE,TRUE,TRUE,TRUE
UpgUmibUsi-MultiBayes,inc case,IT,TRUE,FALSE,TRUE,TRUE,FALSE
UpgUmibUsi-MultiBayes,inc death,IT,TRUE,FALSE,TRUE,TRUE,FALSE
